seed,N,pair,c,routing_F0,routing_Fi,routing_Fj,routing_Fij,F0_to_Fi,F0_to_Fj,F0_to_Fij,Fij_pattern_new,total_routing_changes,gamma_oper
1,25,photo-art_painting,0.15,"F,F,F,F","F,F,F,D","F,F,F,F","F,F,F,D",1,0,1,False,2,0.0003470293049119
1,25,photo-cartoon,0.0,"D,D,F,D","D,D,D,D","D,D,D,D","D,D,D,D",1,1,1,False,3,0.0125046198692082
1,25,photo-cartoon,0.02,"D,D,F,D","D,D,D,D","D,D,D,D","D,D,F,D",1,1,0,True,2,0.0187162847290153
1,25,photo-cartoon,0.05,"F,F,F,D","F,F,F,D","D,D,D,D","F,D,F,D",0,3,1,True,4,0.030024189463128
1,25,photo-cartoon,0.1,"F,F,F,F","F,F,F,D","D,D,F,D","F,D,F,D",1,3,2,True,6,0.0550408903441692
1,25,photo-cartoon,0.15,"F,F,F,F","F,F,F,D","F,D,F,D","F,F,F,D",1,2,1,False,4,0.0898130182448142
1,25,photo-sketch,0.0,"D,D,F,D","D,D,D,D","D,D,F,D","D,D,D,D",1,0,1,False,2,0.0073442800172798
1,25,photo-sketch,0.02,"D,D,F,D","D,D,D,D","D,D,F,D","D,D,F,D",1,0,0,False,1,0.0090072941794585
1,25,photo-sketch,0.05,"F,F,F,D","F,F,F,D","D,D,F,D","F,D,F,D",0,2,1,True,3,0.0085179944495145
1,25,photo-sketch,0.1,"F,F,F,F","F,F,F,D","D,D,F,D","F,F,F,D",1,3,1,False,5,0.030122747034267
1,25,photo-sketch,0.15,"F,F,F,F","F,F,F,D","D,D,F,F","F,F,F,D",1,2,1,False,4,0.0562360842032853
1,25,art_painting-cartoon,0.0,"D,D,F,D","D,D,D,D","D,D,D,D","D,D,D,D",1,1,1,False,3,0.0125046198692082
1,25,art_painting-cartoon,0.02,"D,D,F,D","D,D,F,D","D,D,D,D","D,D,F,D",0,1,0,False,1,0.0192171892461046
1,25,art_painting-cartoon,0.05,"F,F,F,D","F,F,F,D","D,D,D,D","D,D,F,D",0,3,2,True,5,0.0189434240649895
1,25,art_painting-cartoon,0.1,"F,F,F,F","F,F,F,D","D,D,F,D","F,F,F,D",1,3,1,False,5,0.041681315117398
1,25,art_painting-cartoon,0.15,"F,F,F,F","F,F,F,F","F,D,F,D","F,F,F,F",0,2,0,False,2,0.080623570777319
1,25,art_painting-sketch,0.0,"D,D,F,D","D,D,D,D","D,D,F,D","D,D,F,D",1,0,0,False,1,0.0153763757936664
1,25,art_painting-sketch,0.02,"D,D,F,D","D,D,F,D","D,D,F,D","D,D,F,D",0,0,0,False,0,0.018819284675853
1,25,art_painting-sketch,0.05,"F,F,F,D","F,F,F,D","D,D,F,D","D,D,F,D",0,2,2,False,4,0.0110455194947377
1,25,art_painting-sketch,0.1,"F,F,F,F","F,F,F,D","D,D,F,D","F,F,F,F",1,3,0,True,4,0.034307120233054
1,25,art_painting-sketch,0.15,"F,F,F,F","F,F,F,F","D,D,F,F","F,F,F,F",0,2,0,False,2,0.0697027212386651
1,25,cartoon-sketch,0.0,"D,D,F,D","D,D,D,D","D,D,F,D","D,D,F,D",1,0,0,False,1,0.0081848656681842
1,25,cartoon-sketch,0.02,"D,D,F,D","D,D,D,D","D,D,F,D","D,D,F,D",1,0,0,False,1,0.0131848656681841
1,25,cartoon-sketch,0.05,"F,F,F,D","D,D,D,D","D,D,F,D","D,D,F,D",3,2,2,False,7,0.0244948764185506
1,25,cartoon-sketch,0.1,"F,F,F,F","D,D,F,D","D,D,F,D","D,D,F,F",3,3,2,True,8,0.0668995767892263
1,25,cartoon-sketch,0.15,"F,F,F,F","F,D,F,D","D,D,F,F","F,F,F,F",2,2,0,True,4,0.1153473601217929
1,50,photo-art_painting,0.0,"D,D,F,D","D,D,D,D","D,D,D,D","D,D,D,D",1,1,1,False,3,0.0125046198692082
1,50,photo-art_painting,0.02,"D,D,F,D","D,D,D,D","D,D,D,D","D,D,D,D",1,1,1,False,3,0.0175046198692081
1,50,photo-art_painting,0.05,"F,F,F,D","F,D,D,D","D,F,D,D","F,F,D,D",2,2,1,True,5,0.0288348912052832
1,50,photo-art_painting,0.1,"F,F,F,F","F,F,D,D","F,F,D,D","F,F,D,D",2,2,2,False,6,0.0522602596370203
1,50,photo-art_painting,0.15,"F,F,F,F","F,F,F,D","F,F,F,D","F,F,F,D",1,1,1,False,3,0.0667895508505079
1,50,photo-cartoon,0.0,"D,D,F,D","D,D,D,D","D,D,F,D","D,D,D,D",1,0,1,False,2,0.0101820204985183
1,50,photo-cartoon,0.02,"D,D,F,D","D,D,D,D","D,D,F,D","D,D,D,D",1,0,1,False,2,0.0101820204985183
1,50,photo-cartoon,0.05,"F,F,F,D","F,D,D,D","D,D,F,D","F,D,F,D",2,2,1,True,5,0.0124851781407471
1,50,photo-cartoon,0.1,"F,F,F,F","F,F,D,D","D,D,F,D","F,F,F,D",2,3,1,True,6,0.057032062659327
1,50,photo-cartoon,0.15,"F,F,F,F","F,F,F,D","F,D,F,D","F,F,F,D",1,2,1,False,4,0.0988714863744885
1,50,photo-sketch,0.0,"D,D,F,D","D,D,D,D","D,D,D,D","D,D,D,D",1,1,1,False,3,0.0125046198692082
1,50,photo-sketch,0.02,"D,D,F,D","D,D,D,D","D,D,D,D","D,D,F,D",1,1,0,True,2,0.018207586323294
1,50,photo-sketch,0.05,"F,F,F,D","F,D,D,D","D,D,D,D","F,D,F,D",2,3,1,True,6,0.0331031002404444
1,50,photo-sketch,0.1,"F,F,F,F","F,F,D,D","D,D,F,D","F,F,F,F",2,3,0,True,5,0.0902126867964062
