index,N,pair,c,routing_change,count,mean,std,median,min,max
32,25,photo-cartoon,0.0,True,4,0.01016383361758475,0.003489981174117464,0.01025986566154835,0.006432889314185,0.0137027138330573
33,25,photo-cartoon,0.02,True,5,0.01180640830479744,0.007725828261448733,0.0111678424346903,0.0009417614548822,0.0196712723183559
34,25,photo-cartoon,0.05,False,1,0.0258394558367104,0.0,0.0258394558367104,0.0258394558367104,0.0258394558367104
35,25,photo-cartoon,0.05,True,4,0.0139604138437621,0.011885280447354743,0.011935352630530749,0.0019467606508589,0.030024189463128
36,25,photo-cartoon,0.1,False,1,0.0258394558367104,0.0,0.0258394558367104,0.0258394558367104,0.0258394558367104
37,25,photo-cartoon,0.1,True,4,0.0372650772585356,0.017267677981353053,0.03746280420501535,0.0190938102799425,0.0550408903441692
38,25,photo-cartoon,0.15,False,2,0.035109889790375,0.011977388184987078,0.035109889790375,0.026640597383867,0.043579182196883
39,25,photo-cartoon,0.15,True,3,0.06475800265978597,0.03045742113842289,0.0736042906913351,0.0308566990432086,0.0898130182448142
40,25,photo-sketch,0.0,False,1,0.0,0.0,0.0,0.0,0.0
41,25,photo-sketch,0.0,True,4,0.015697180239888926,0.009242752945021656,0.0144698293112666,0.0073442800172798,0.0265047823197427
42,25,photo-sketch,0.02,True,5,0.01839535092537026,0.01500854888255378,0.0198212066011332,-0.0017539247181486,0.0346575133005444
43,25,photo-sketch,0.05,True,5,0.025249694863945477,0.021305569415002727,0.0384455393382175,-0.0036423550335052,0.0422032275483384
44,25,photo-sketch,0.1,True,5,0.0498973018006173,0.025581247898039044,0.0523038058448145,0.0211474225971118,0.0858168541067884
45,25,photo-sketch,0.15,True,5,0.07485083698713878,0.030680492969465633,0.0725266933763655,0.045746196222999,0.1255046364164195
46,50,art_painting-cartoon,0.0,False,1,0.0,0.0,0.0,0.0,0.0
47,50,art_painting-cartoon,0.0,True,4,0.015668522186116075,0.005960359611754024,0.01563291259780655,0.0101820204985183,0.0212262430503329
48,50,art_painting-cartoon,0.02,True,5,0.01753771754946119,0.01238254285783845,0.0208587549733579,1.4499002841450448e-05,0.0304070702222554
49,50,art_painting-cartoon,0.05,True,5,0.028692545949045422,0.017140022200308445,0.0336951908678985,0.0033675416122125,0.0467238641299866
50,50,art_painting-cartoon,0.1,True,5,0.05602652868975698,0.01450168276841651,0.0595000075448555,0.0323323866948096,0.0717238641299866
51,50,art_painting-cartoon,0.15,True,5,0.07927297668019721,0.018634168580193518,0.0855858163933301,0.0544032209214916,0.0970000075448555
52,50,art_painting-sketch,0.0,False,1,0.0,0.0,0.0,0.0,0.0
53,50,art_painting-sketch,0.0,True,4,0.015701161936969375,0.007355228291761999,0.01309751931493495,0.0101048267982649,0.0265047823197427
54,50,art_painting-sketch,0.02,True,5,0.01925077588204279,0.013033709457170368,0.0201727577691487,1.4499002841450448e-05,0.0365047823197426
55,50,art_painting-sketch,0.05,True,5,0.0371032761014056,0.020472110854512168,0.038953019252188,0.0054342302253641,0.0601810829881281
56,50,art_painting-sketch,0.1,True,5,0.08002571868943308,0.020672182855833214,0.0700931821040775,0.0590963490022108,0.1046706253993986
57,50,art_painting-sketch,0.15,True,5,0.12644763141276966,0.022968877136736243,0.1208018353096529,0.1017701833581108,0.1542804277347934
58,50,cartoon-sketch,0.0,False,1,0.0,0.0,0.0,0.0,0.0
59,50,cartoon-sketch,0.0,True,4,0.017821573010277075,0.006175643778817748,0.018468022892007302,0.0101820204985183,0.0241682257585754
60,50,cartoon-sketch,0.02,True,5,0.022221736149068687,0.01629183109059971,0.0289814451076469,1.4499002841450448e-05,0.0362008940618552
61,50,cartoon-sketch,0.05,True,5,0.04024403002598524,0.024061333789651158,0.0553372407474155,0.0103932070688576,0.0608014099730199
