index,N,pair,c,mean,std,median,min,max
59,50,photo-sketch,0.15,-0.1320914096211517,0.02429255877792002,-0.12219705462932398,-0.16143998862184852,-0.10562328786484548
60,100,art_painting-cartoon,0.0,-0.12584379039728044,0.031645765949751735,-0.143105918019659,-0.1524916599998833,-0.0796568461446766
61,100,art_painting-cartoon,0.02,-0.12071518302374214,0.034784080902731176,-0.138105918019659,-0.14772712355080975,-0.06607179647395389
62,100,art_painting-cartoon,0.05,-0.10975710322621293,0.035265491826914575,-0.1235333324543421,-0.13638933862841549,-0.052152843038626495
63,100,art_painting-cartoon,0.1,-0.07441349835797068,0.029416432923560536,-0.07611371054420189,-0.111897382480138,-0.03162906252159949
64,100,art_painting-cartoon,0.15,-0.041790213630534735,0.014674968931452948,-0.0407014881042939,-0.0636567212295641,-0.024713296295954895
65,100,art_painting-sketch,0.0,-0.378482012327906,0.03789544762522355,-0.3715973515301194,-0.4396152942983154,-0.3403047997577102
66,100,art_painting-sketch,0.02,-0.3727854499184158,0.03729758600806089,-0.37158285252727796,-0.4305065484440489,-0.330945232567367
67,100,art_painting-sketch,0.05,-0.3592161847720459,0.036573240858456424,-0.3596672576533545,-0.4151250484162178,-0.3161707423396859
68,100,art_painting-sketch,0.1,-0.31134579896897063,0.03191954880215141,-0.307955371286333,-0.3613702987260598,-0.2743362007658305
69,100,art_painting-sketch,0.15,-0.25206524472622455,0.02937509162058153,-0.2451250104469379,-0.2995735741843616,-0.2192248376671117
70,100,cartoon-sketch,0.0,-0.35166401869327607,0.045228853511930754,-0.370591306741718,-0.3973381486408614,-0.29122558933378856
71,100,cartoon-sketch,0.02,-0.3443301193951091,0.04018178049042874,-0.3555913067417179,-0.3873381486408615,-0.28957059184579526
72,100,cartoon-sketch,0.05,-0.3271152212772767,0.03583190875060045,-0.335120865888209,-0.369766560742323,-0.27826058109542856
73,100,cartoon-sketch,0.1,-0.2800657977781643,0.031249843489732348,-0.2906868260662409,-0.3166583793368176,-0.23447150106739928
74,100,cartoon-sketch,0.15,-0.23202851048449072,0.029581337649629325,-0.23766811928912324,-0.2684749363694878,-0.19145462983870848
75,100,photo-art_painting,0.0,-0.08491739806019416,0.04267968552999455,-0.0902925092860255,-0.1290187583294743,-0.019692435946968997
76,100,photo-art_painting,0.02,-0.07959784538132726,0.041613506288402775,-0.0767888893236417,-0.1240187583294744,-0.015709302340046798
77,100,photo-art_painting,0.05,-0.06849605261374665,0.03721740117803269,-0.0641763498497703,-0.11213228278174599,-0.013158827134098296
78,100,photo-art_painting,0.1,-0.04523919679249202,0.026121125726393222,-0.0433638050223078,-0.0810139140427596,-0.008953140475974196
79,100,photo-art_painting,0.15,-0.02520793840818914,0.019299630089295104,-0.017469224747917497,-0.05393256998254799,-0.0038417773772554953
80,100,photo-cartoon,0.0,-0.17684949455971163,0.03509708549991961,-0.1655509717934031,-0.2218330054463798,-0.1387716857596279
81,100,photo-cartoon,0.02,-0.1687463110776856,0.036445725136879034,-0.1554350280605813,-0.2199459037077485,-0.12620717678388788
82,100,photo-cartoon,0.05,-0.14815053221396104,0.036231853300061796,-0.13858031450717578,-0.2009695534972076,-0.10573673593037888
83,100,photo-cartoon,0.1,-0.09592502976705387,0.027357074684666333,-0.086371742359733,-0.1353373400975084,-0.07264202111581018
84,100,photo-cartoon,0.15,-0.05388537570337436,0.013476826604228056,-0.05345544209330219,-0.0728373400975082,-0.037020330778388205
85,100,photo-sketch,0.0,-0.4147109470336511,0.026056063965477702,-0.4222858235489174,-0.4484498455420798,-0.3866757746177205
