seed,N,pair,c,gamma_learn,gamma_oper,delta_gamma,delta_class,sign_change,route_interaction_count,route_interaction_l1
2,25,photo-cartoon,0.0,0.0458745107039062,0.0137027138330573,-0.032171796870848895,ABSORB,False,2,2
2,25,photo-cartoon,0.02,0.0458745107039062,0.0196712723183559,-0.026203238385550297,ABSORB,False,1,1
2,25,photo-cartoon,0.05,0.0458745107039062,0.0258394558367104,-0.020035054867195798,ABSORB,False,0,0
2,25,photo-cartoon,0.1,0.0458745107039062,0.0258394558367104,-0.020035054867195798,ABSORB,False,0,0
2,25,photo-cartoon,0.15,0.0458745107039062,0.0308566990432086,-0.015017811660697596,ABSORB,False,1,1
2,25,photo-sketch,0.0,0.0892583863773222,0.0202446652638637,-0.06901372111345849,ABSORB,False,2,2
2,25,photo-sketch,0.02,0.0892583863773222,0.0302446652638638,-0.0590137211134584,ABSORB,False,2,2
2,25,photo-sketch,0.05,0.0892583863773222,0.0407240680171622,-0.04853431836016,ABSORB,False,2,2
2,25,photo-sketch,0.1,0.0892583863773222,0.0600956794201048,-0.0291627069572174,ABSORB,False,3,3
2,25,photo-sketch,0.15,0.0892583863773222,0.0742405747166246,-0.0150178116606976,ABSORB,False,1,1
2,25,art_painting-cartoon,0.0,0.0397062613496379,0.0136687582768399,-0.026037503072798,ABSORB,False,1,1
2,25,art_painting-cartoon,0.02,0.0397062613496379,0.0175864006102371,-0.022119860739400803,ABSORB,False,1,1
2,25,art_painting-cartoon,0.05,0.0397062613496379,0.0195161840178531,-0.020190077331784802,ABSORB,False,0,0
2,25,art_painting-cartoon,0.1,0.0397062613496379,0.0195161840178531,-0.020190077331784802,ABSORB,False,0,0
2,25,art_painting-cartoon,0.15,0.0397062613496379,0.0295052189166765,-0.010201042432961403,ABSORB,False,1,1
2,25,art_painting-sketch,0.0,0.0824658103365979,0.0130486495575337,-0.06941716077906421,ABSORB,False,1,1
2,25,art_painting-sketch,0.02,0.0824658103365979,0.0180486495575338,-0.0644171607790641,ABSORB,False,1,1
2,25,art_painting-sketch,0.05,0.0824658103365979,0.024631804015708,-0.057834006320889905,ABSORB,False,2,2
2,25,art_painting-sketch,0.1,0.0824658103365979,0.0472265117569046,-0.0352392985796933,ABSORB,False,2,2
2,25,art_painting-sketch,0.15,0.0824658103365979,0.0722647679036365,-0.010201042432961396,ABSORB,False,1,1
2,25,cartoon-sketch,0.0,0.0346907579466013,0.0070307633948735,-0.0276599945517278,ABSORB,False,1,1
2,25,cartoon-sketch,0.02,0.0346907579466013,0.007999321880172,-0.0266914360664293,ABSORB,False,0,0
2,25,cartoon-sketch,0.05,0.0346907579466013,0.0091041544942214,-0.0255866034523799,ABSORB,False,0,0
2,25,cartoon-sketch,0.1,0.0346907579466013,0.0158013155878061,-0.0188894423587952,ABSORB,False,2,2
2,25,cartoon-sketch,0.15,0.0346907579466013,0.0346907579466013,0.0,PRESERVE,False,0,0
2,50,photo-art_painting,0.0,0.0616904623868145,0.0188649089664717,-0.0428255534203428,ABSORB,False,1,1
2,50,photo-art_painting,0.02,0.0616904623868145,0.0198871878570171,-0.0418032745297974,ABSORB,False,2,2
2,50,photo-art_painting,0.05,0.0616904623868145,0.0216109714528935,-0.040079490933921,ABSORB,False,0,0
2,50,photo-art_painting,0.1,0.0616904623868145,0.0276266985182102,-0.034063763868604297,ABSORB,False,1,1
2,50,photo-art_painting,0.15,0.0616904623868145,0.0442021789940154,-0.0174882833927991,ABSORB,False,1,1
2,50,photo-cartoon,0.0,0.1397676345110592,0.0158930279796148,-0.1238746065314444,ABSORB,False,2,2
2,50,photo-cartoon,0.02,0.1397676345110592,0.0238967702133572,-0.11587086429770199,ABSORB,False,3,4
2,50,photo-cartoon,0.05,0.1397676345110592,0.0397672011688186,-0.1000004333422406,ABSORB,False,3,3
2,50,photo-cartoon,0.1,0.1397676345110592,0.0772672011688185,-0.0625004333422407,ABSORB,False,3,3
2,50,photo-cartoon,0.15,0.1397676345110592,0.0923858792691082,-0.047381755241951,ABSORB,False,1,1
2,50,photo-sketch,0.0,0.256409382009629,0.0309684075419731,-0.22544097446765587,ABSORB,False,2,3
2,50,photo-sketch,0.02,0.256409382009629,0.0419906864325185,-0.2144186955771105,ABSORB,False,3,4
2,50,photo-sketch,0.05,0.256409382009629,0.061302702303012,-0.195106679706617,ABSORB,False,3,4
2,50,photo-sketch,0.1,0.256409382009629,0.1021875914437949,-0.15422179056583407,ABSORB,False,3,3
2,50,photo-sketch,0.15,0.256409382009629,0.1391973968349372,-0.11721198517469178,ABSORB,False,3,3
2,50,art_painting-cartoon,0.0,0.0927016348850046,0.0204070702222552,-0.0722945646627494,ABSORB,False,2,2
2,50,art_painting-cartoon,0.02,0.0927016348850046,0.0304070702222554,-0.0622945646627492,ABSORB,False,2,2
