seed,N,pair,c,gamma_learn,gamma_oper,delta_gamma,delta_class,sign_change,route_interaction_count,route_interaction_l1
1,50,photo-cartoon,0.05,0.1317042364154211,0.0124851781407471,-0.119219058274674,ABSORB,False,3,3
1,50,photo-cartoon,0.1,0.1317042364154211,0.057032062659327,-0.07467217375609408,ABSORB,False,4,4
1,50,photo-cartoon,0.15,0.1317042364154211,0.0988714863744885,-0.032832750040932585,ABSORB,False,2,2
1,50,photo-sketch,0.0,0.3060253138396805,0.0125046198692082,-0.2935206939704723,ABSORB,False,1,1
1,50,photo-sketch,0.02,0.3060253138396805,0.018207586323294,-0.2878177275163865,ABSORB,False,1,2
1,50,photo-sketch,0.05,0.3060253138396805,0.0331031002404444,-0.27292221359923613,ABSORB,False,3,4
1,50,photo-sketch,0.1,0.3060253138396805,0.0902126867964062,-0.2158126270432743,ABSORB,False,4,5
1,50,photo-sketch,0.15,0.3060253138396805,0.144585325217832,-0.16143998862184852,ABSORB,False,3,4
1,50,art_painting-cartoon,0.0,0.1304215610134218,0.0101820204985183,-0.12023954051490351,ABSORB,False,0,0
1,50,art_painting-cartoon,0.02,0.1304215610134218,0.0101820204985183,-0.12023954051490351,ABSORB,False,0,0
1,50,art_painting-cartoon,0.05,0.1304215610134218,0.0203252785181471,-0.11009628249527471,ABSORB,False,2,2
1,50,art_painting-cartoon,0.1,0.1304215610134218,0.0559343440347295,-0.07448721697869232,ABSORB,False,4,4
1,50,art_painting-cartoon,0.15,0.1304215610134218,0.0941097825340405,-0.036311778479381315,ABSORB,False,2,2
1,50,art_painting-sketch,0.0,0.257649974501255,0.0125046198692082,-0.24514535463204679,ABSORB,False,1,1
1,50,art_painting-sketch,0.02,0.257649974501255,0.0175046198692081,-0.2401453546320469,ABSORB,False,1,1
1,50,art_painting-sketch,0.05,0.257649974501255,0.0328987279484503,-0.22475124655280468,ABSORB,False,2,3
1,50,art_painting-sketch,0.1,0.257649974501255,0.0700931821040775,-0.18755679239717749,ABSORB,False,4,5
1,50,art_painting-sketch,0.15,0.257649974501255,0.1208018353096529,-0.1368481391916021,ABSORB,False,3,4
1,50,cartoon-sketch,0.0,0.1851011836948535,0.0101820204985183,-0.17491916319633521,ABSORB,False,0,0
1,50,cartoon-sketch,0.02,0.1851011836948535,0.0101820204985183,-0.17491916319633521,ABSORB,False,0,0
1,50,cartoon-sketch,0.05,0.1851011836948535,0.0178827745484437,-0.1672184091464098,ABSORB,False,3,3
1,50,cartoon-sketch,0.1,0.1851011836948535,0.0616066106609167,-0.12349457303393681,ABSORB,False,3,3
1,50,cartoon-sketch,0.15,0.1851011836948535,0.0990733959546527,-0.08602778774020081,ABSORB,False,2,2
1,100,photo-art_painting,0.0,0.1415233781986825,0.0125046198692082,-0.1290187583294743,ABSORB,False,1,1
1,100,photo-art_painting,0.02,0.1415233781986825,0.0175046198692081,-0.1240187583294744,ABSORB,False,1,1
1,100,photo-art_painting,0.05,0.1415233781986825,0.0293910954169365,-0.11213228278174599,ABSORB,False,2,2
1,100,photo-art_painting,0.1,0.1415233781986825,0.0605094641559229,-0.0810139140427596,ABSORB,False,3,3
1,100,photo-art_painting,0.15,0.1415233781986825,0.0875908082161345,-0.05393256998254799,ABSORB,False,1,1
1,100,photo-cartoon,0.0,0.1641266120972984,0.0107369034686555,-0.1533897086286429,ABSORB,False,0,0
1,100,photo-cartoon,0.02,0.1641266120972984,0.0116852664315926,-0.1524413456657058,ABSORB,False,1,1
1,100,photo-cartoon,0.05,0.1641266120972984,0.0255462975901226,-0.13858031450717578,ABSORB,False,3,3
1,100,photo-cartoon,0.1,0.1641266120972984,0.0777548697375654,-0.086371742359733,ABSORB,False,4,5
1,100,photo-cartoon,0.15,0.1641266120972984,0.1174468400558288,-0.0466797720414696,ABSORB,False,1,1
1,100,photo-sketch,0.0,0.4347904434181256,0.0125046198692082,-0.4222858235489174,ABSORB,False,1,1
1,100,photo-sketch,0.02,0.4347904434181256,0.0175046198692081,-0.4172858235489175,ABSORB,False,1,1
1,100,photo-sketch,0.05,0.4347904434181256,0.0362694709416295,-0.3985209724764961,ABSORB,False,3,4
1,100,photo-sketch,0.1,0.4347904434181256,0.0942285983100186,-0.340561845108107,ABSORB,False,4,7
1,100,photo-sketch,0.15,0.4347904434181256,0.1713099423702302,-0.26348050104789544,ABSORB,False,4,5
1,100,art_painting-cartoon,0.0,0.1169598087371877,0.0107369034686555,-0.1062229052685322,ABSORB,False,0,0
1,100,art_painting-cartoon,0.02,0.1169598087371877,0.0107369034686555,-0.1062229052685322,ABSORB,False,0,0
1,100,art_painting-cartoon,0.05,0.1169598087371877,0.0160613354043935,-0.1008984733327942,ABSORB,False,2,2
1,100,art_painting-cartoon,0.1,0.1169598087371877,0.0511476943748419,-0.0658121143623458,ABSORB,False,3,3
1,100,art_painting-cartoon,0.15,0.1169598087371877,0.0762583206328938,-0.0407014881042939,ABSORB,False,1,1
1,100,art_painting-sketch,0.0,0.3966063011465132,0.0125046198692082,-0.384101681277305,ABSORB,False,1,1
1,100,art_painting-sketch,0.02,0.3966063011465132,0.0175046198692081,-0.3791016812773051,ABSORB,False,1,1
1,100,art_painting-sketch,0.05,0.3966063011465132,0.0321550277345377,-0.3644512734119755,ABSORB,False,2,3
1,100,art_painting-sketch,0.1,0.3966063011465132,0.0815445740319561,-0.3150617271145571,ABSORB,False,4,5
1,100,art_painting-sketch,0.15,0.3966063011465132,0.1440445740319561,-0.25256172711455704,ABSORB,False,4,5
1,100,cartoon-sketch,0.0,0.3019624928024441,0.0107369034686555,-0.29122558933378856,ABSORB,False,0,0
1,100,cartoon-sketch,0.02,0.3019624928024441,0.0123919009566488,-0.28957059184579526,ABSORB,False,1,1
1,100,cartoon-sketch,0.05,0.3019624928024441,0.0237019117070155,-0.27826058109542856,ABSORB,False,3,3
1,100,cartoon-sketch,0.1,0.3019624928024441,0.0674909917350448,-0.23447150106739928,ABSORB,False,4,4
1,100,cartoon-sketch,0.15,0.3019624928024441,0.1105078629637356,-0.19145462983870848,ABSORB,False,3,3
2,25,photo-art_painting,0.0,0.017583885869091,0.007917374824679,-0.009666511044412001,ABSORB,False,0,0
2,25,photo-art_painting,0.02,0.017583885869091,0.0094320417469417,-0.008151844122149301,ABSORB,False,1,1
2,25,photo-art_painting,0.05,0.017583885869091,0.0028352230834817,-0.0147486627856093,ABSORB,False,1,1
2,25,photo-art_painting,0.1,0.017583885869091,0.0006736708736042,-0.0169102149954868,ABSORB,False,0,0
