seed,N,pair,domain_i,domain_j,c,gamma_learn,gamma_oper,R0,Ri,Rj,Rij,d_i,transition_i_photo,transition_i_art_painting,transition_i_cartoon,transition_i_sketch,d_j,transition_j_photo,transition_j_art_painting,transition_j_cartoon,transition_j_sketch,d_ij,transition_ij_photo,transition_ij_art_painting,transition_ij_cartoon,transition_ij_sketch,gamma_route_photo,gamma_route_art_painting,gamma_route_cartoon,gamma_route_sketch,route_interaction_count,route_interaction_l1,routing_config_count,Fij_pattern_new,delta_gamma,sign_change,delta_class,Vlearn_F0,Voper_F0,Vlearn_Fi,Voper_Fi,Vlearn_Fj,Voper_Fj,Vlearn_Fij,Voper_Fij
0,50,photo-art_painting,photo,art_painting,0.0,0.1176674511734499,0.0110976250697075,"D,F,F,D","D,D,D,D","D,F,D,D","D,F,D,D",2,D→D,F→D,F→D,D→D,1,D→D,F→F,F→D,D→D,1,D→D,F→F,F→D,D→D,0,-1,-1,0,2,2,3,False,-0.1065698261037424,False,ABSORB,0.818672464573932,0.8415327641275345,0.6765231282241218,0.825797612405375,0.739449890376982,0.8337527570188632,0.7149680052006218,0.8291152303664112
0,50,photo-art_painting,photo,art_painting,0.02,0.1176674511734499,0.0210976250697075,"D,F,F,D","D,D,D,D","D,F,D,D","D,F,D,D",2,D→D,F→D,F→D,D→D,1,D→D,F→F,F→D,D→D,1,D→D,F→F,F→D,D→D,0,-1,-1,0,2,2,3,False,-0.0965698261037424,False,ABSORB,0.818672464573932,0.8315327641275345,0.6765231282241218,0.805797612405375,0.739449890376982,0.8187527570188632,0.7149680052006218,0.8141152303664112
0,50,photo-art_painting,photo,art_painting,0.05,0.1176674511734499,0.040900705167805,"D,F,F,F","F,D,D,D","F,F,D,D","F,F,D,D",4,D→F,F→D,F→D,F→D,3,D→F,F→F,F→D,F→D,3,D→F,F→F,F→D,F→D,1,-1,-1,-1,4,4,3,False,-0.0767667460056449,False,ABSORB,0.818672464573932,0.8201570968646186,0.6765231282241218,0.776029582588084,0.739449890376982,0.7963849901123229,0.7149680052006218,0.7931581810035934
0,50,photo-art_painting,photo,art_painting,0.1,0.1176674511734499,0.0685736327326919,"F,F,F,F","F,F,D,D","F,F,D,D","F,F,D,D",2,F→F,F→F,F→D,F→D,2,F→F,F→F,F→D,F→D,2,F→F,F→F,F→D,F→D,0,0,-1,-1,2,2,2,False,-0.049093818440758,False,ABSORB,0.818672464573932,0.818672464573932,0.6765231282241218,0.7468720227325105,0.739449890376982,0.771384990112323,0.7149680052006218,0.7681581810035935
0,50,photo-art_painting,photo,art_painting,0.15,0.1176674511734499,0.0856976476955565,"F,F,F,F","F,F,D,D","F,F,F,D","F,F,D,D",2,F→F,F→F,F→D,F→D,1,F→F,F→F,F→F,F→D,2,F→F,F→F,F→D,F→D,0,0,0,-1,1,1,3,False,-0.031969803477893396,False,ABSORB,0.818672464573932,0.818672464573932,0.6765231282241218,0.7218720227325106,0.739449890376982,0.7542609751494582,0.7149680052006218,0.7431581810035934
0,50,photo-cartoon,photo,cartoon,0.0,0.14000531301585,0.01679040624083,"D,F,F,D","D,D,D,D","D,D,D,D","D,F,D,D",2,D→D,F→D,F→D,D→D,2,D→D,F→D,F→D,D→D,1,D→D,F→F,F→D,D→D,0,-2,-1,0,2,3,3,True,-0.12321490677502,False,ABSORB,0.818672464573932,0.8415327641275345,0.6765231282241218,0.825797612405375,0.7534758532373688,0.825797612405375,0.7513318299034086,0.8268528669240455
0,50,photo-cartoon,photo,cartoon,0.02,0.14000531301585,0.03179040624083,"D,F,F,D","D,D,D,D","D,D,D,D","D,F,D,D",2,D→D,F→D,F→D,D→D,2,D→D,F→D,F→D,D→D,1,D→D,F→F,F→D,D→D,0,-2,-1,0,2,3,3,True,-0.10821490677502,False,ABSORB,0.818672464573932,0.8315327641275345,0.6765231282241218,0.805797612405375,0.7534758532373688,0.805797612405375,0.7513318299034086,0.8118528669240455
0,50,photo-cartoon,photo,cartoon,0.05,0.14000531301585,0.0576827687952051,"D,F,F,F","F,D,D,D","D,D,D,D","D,F,D,D",4,D→F,F→D,F→D,F→D,3,D→D,F→D,F→D,F→D,2,D→D,F→F,F→D,F→D,1,-2,-1,-1,4,5,4,True,-0.08232254422064492,False,ABSORB,0.818672464573932,0.8201570968646186,0.6765231282241218,0.776029582588084,0.7534758532373688,0.7757976124053748,0.7513318299034086,0.7893528669240454
0,50,photo-cartoon,photo,cartoon,0.1,0.14000531301585,0.0848184117113239,"F,F,F,F","F,F,D,D","F,F,F,F","F,F,F,D",2,F→F,F→F,F→D,F→D,0,F→F,F→F,F→F,F→F,1,F→F,F→F,F→F,F→D,0,0,-1,0,1,1,3,True,-0.05518690130452611,False,ABSORB,0.818672464573932,0.818672464573932,0.6765231282241218,0.7468720227325105,0.7534758532373688,0.7534758532373688,0.7513318299034086,0.7664938231072713
0,50,photo-cartoon,photo,cartoon,0.15,0.14000531301585,0.0973184117113239,"F,F,F,F","F,F,D,D","F,F,F,F","F,F,F,D",2,F→F,F→F,F→D,F→D,0,F→F,F→F,F→F,F→F,1,F→F,F→F,F→F,F→D,0,0,-1,0,1,1,3,True,-0.04268690130452611,False,ABSORB,0.818672464573932,0.818672464573932,0.6765231282241218,0.7218720227325106,0.7534758532373688,0.7534758532373688,0.7513318299034086,0.7539938231072714
0,50,photo-sketch,photo,sketch,0.0,0.2935787999377314,0.0157351517221595,"D,F,F,D","D,D,D,D","D,D,D,D","D,D,D,D",2,D→D,F→D,F→D,D→D,2,D→D,F→D,F→D,D→D,2,D→D,F→D,F→D,D→D,0,-1,-1,0,2,2,2,False,-0.2778436482155719,False,ABSORB,0.818672464573932,0.8415327641275345,0.6765231282241218,0.825797612405375,0.6148903464481573,0.825797612405375,0.7663198100360785,0.825797612405375
0,50,photo-sketch,photo,sketch,0.02,0.2935787999377314,0.0257351517221595,"D,F,F,D","D,D,D,D","D,D,D,D","D,D,D,D",2,D→D,F→D,F→D,D→D,2,D→D,F→D,F→D,D→D,2,D→D,F→D,F→D,D→D,0,-1,-1,0,2,2,2,False,-0.2678436482155719,False,ABSORB,0.818672464573932,0.8315327641275345,0.6765231282241218,0.805797612405375,0.6148903464481573,0.805797612405375,0.7663198100360785,0.805797612405375
0,50,photo-sketch,photo,sketch,0.05,0.2935787999377314,0.0506070437683523,"D,F,F,F","F,D,D,D","D,D,D,D","D,F,D,D",4,D→F,F→D,F→D,F→D,3,D→D,F→D,F→D,F→D,2,D→D,F→F,F→D,F→D,1,-2,-1,-1,4,5,4,True,-0.2429717561693791,False,ABSORB,0.818672464573932,0.8201570968646186,0.6765231282241218,0.776029582588084,0.6148903464481573,0.7757976124053748,0.7663198100360785,0.7822771418971926
0,50,photo-sketch,photo,sketch,0.1,0.2935787999377314,0.1088817453084074,"F,F,F,F","F,F,D,D","D,D,F,D","F,F,F,F",2,F→F,F→F,F→D,F→D,3,F→D,F→D,F→F,F→D,0,F→F,F→F,F→F,F→F,-1,-1,-1,-2,4,5,3,True,-0.184697054629324,False,ABSORB,0.818672464573932,0.818672464573932,0.6765231282241218,0.7468720227325105,0.6148903464481573,0.7292385065690925,0.7663198100360785,0.7663198100360785
0,50,photo-sketch,photo,sketch,0.15,0.2935787999377314,0.1713817453084074,"F,F,F,F","F,F,D,D","D,D,F,D","F,F,F,F",2,F→F,F→F,F→D,F→D,3,F→D,F→D,F→F,F→D,0,F→F,F→F,F→F,F→F,-1,-1,-1,-2,4,5,3,True,-0.12219705462932398,False,ABSORB,0.818672464573932,0.818672464573932,0.6765231282241218,0.7218720227325106,0.6148903464481573,0.6917385065690924,0.7663198100360785,0.7663198100360785
0,50,art_painting-cartoon,art_painting,cartoon,0.0,0.060002357796417,0.0108587549733579,"D,F,F,D","D,F,D,D","D,D,D,D","D,F,D,D",1,D→D,F→F,F→D,D→D,2,D→D,F→D,F→D,D→D,1,D→D,F→F,F→D,D→D,0,-1,-1,0,2,2,3,False,-0.0491436028230591,False,ABSORB,0.818672464573932,0.8415327641275345,0.739449890376982,0.8337527570188632,0.7534758532373688,0.825797612405375,0.7342556368368359,0.8288763602700616
0,50,art_painting-cartoon,art_painting,cartoon,0.02,0.060002357796417,0.0208587549733579,"D,F,F,D","D,F,D,D","D,D,D,D","D,F,D,D",1,D→D,F→F,F→D,D→D,2,D→D,F→D,F→D,D→D,1,D→D,F→F,F→D,D→D,0,-1,-1,0,2,2,3,False,-0.0391436028230591,False,ABSORB,0.818672464573932,0.8315327641275345,0.739449890376982,0.8187527570188632,0.7534758532373688,0.805797612405375,0.7342556368368359,0.8138763602700616
0,50,art_painting-cartoon,art_painting,cartoon,0.05,0.060002357796417,0.0393508546169824,"D,F,F,F","F,F,D,D","D,D,D,D","D,F,D,D",3,D→F,F→F,F→D,F→D,3,D→D,F→D,F→D,F→D,2,D→D,F→F,F→D,F→D,1,-1,-1,-1,4,4,4,True,-0.0206515031794346,False,ABSORB,0.818672464573932,0.8201570968646186,0.739449890376982,0.7963849901123229,0.7534758532373688,0.7757976124053748,0.7342556368368359,0.7913763602700615
0,50,art_painting-cartoon,art_painting,cartoon,0.1,0.060002357796417,0.0606420410444037,"F,F,F,F","F,F,D,D","F,F,F,F","F,F,F,D",2,F→F,F→F,F→D,F→D,0,F→F,F→F,F→F,F→F,1,F→F,F→F,F→F,F→D,0,0,-1,0,1,1,3,True,0.0006396832479866957,False,AMPLIFY,0.818672464573932,0.818672464573932,0.739449890376982,0.771384990112323,0.7534758532373688,0.7534758532373688,0.7342556368368359,0.7668304198201635
0,50,art_painting-cartoon,art_painting,cartoon,0.15,0.060002357796417,0.0652660560072684,"F,F,F,F","F,F,F,D","F,F,F,F","F,F,F,D",1,F→F,F→F,F→F,F→D,0,F→F,F→F,F→F,F→F,1,F→F,F→F,F→F,F→D,0,0,0,0,0,0,2,False,0.005263698210851396,False,AMPLIFY,0.818672464573932,0.818672464573932,0.739449890376982,0.7542609751494582,0.7534758532373688,0.7534758532373688,0.7342556368368359,0.7543304198201635
0,50,art_painting-sketch,art_painting,sketch,0.0,0.2459396726282047,0.0101048267982649,"D,F,F,D","D,F,D,D","D,D,D,D","D,F,D,D",1,D→D,F→F,F→D,D→D,2,D→D,F→D,F→D,D→D,1,D→D,F→F,F→D,D→D,0,-1,-1,0,2,2,3,False,-0.2358348458299398,False,ABSORB,0.818672464573932,0.8415327641275345,0.739449890376982,0.8337527570188632,0.6148903464481573,0.825797612405375,0.7816074448794121,0.8281224320949686
0,50,art_painting-sketch,art_painting,sketch,0.02,0.2459396726282047,0.0220572204492731,"D,F,F,D","D,F,D,D","D,D,D,D","D,F,F,D",1,D→D,F→F,F→D,D→D,2,D→D,F→D,F→D,D→D,0,D→D,F→F,F→F,D→D,0,-1,-2,0,2,3,3,True,-0.2238824521789316,False,ABSORB,0.818672464573932,0.8315327641275345,0.739449890376982,0.8187527570188632,0.6148903464481573,0.805797612405375,0.7816074448794121,0.8150748257459768
0,50,art_painting-sketch,art_painting,sketch,0.05,0.2459396726282047,0.0480493200928975,"D,F,F,F","F,F,D,D","D,D,D,D","D,F,F,D",3,D→F,F→F,F→D,F→D,3,D→D,F→D,F→D,F→D,1,D→D,F→F,F→F,F→D,1,-1,-2,-1,4,5,4,True,-0.1978903525353072,False,ABSORB,0.818672464573932,0.8201570968646186,0.739449890376982,0.7963849901123229,0.6148903464481573,0.7757976124053748,0.7816074448794121,0.8000748257459767
