seed,N,domain_i,domain_j,pair,DeltaS_i_photo,DeltaS_j_photo,DeltaS_ij_photo,DeltaS_ij_CM_photo,interaction_S_photo,DeltaS_i_art_painting,DeltaS_j_art_painting,DeltaS_ij_art_painting,DeltaS_ij_CM_art_painting,interaction_S_art_painting,DeltaS_i_cartoon,DeltaS_j_cartoon,DeltaS_ij_cartoon,DeltaS_ij_CM_cartoon,interaction_S_cartoon,DeltaS_i_sketch,DeltaS_j_sketch,DeltaS_ij_sketch,DeltaS_ij_CM_sketch,interaction_S_sketch
1,25,art_painting,sketch,art_painting__sketch,0.010204081632653073,-0.08597272741560047,-0.025158339197748125,-0.025334271639690376,0.05061030658519927,0.006409473102324648,-0.09814182459227916,-0.017643484667387743,0.01864986657378087,0.07408886682256677,-0.05871632811860761,-0.05734498365419238,-0.05710391917097879,-0.04498464164343574,0.0589573926018212,-0.03828846549918019,0.006696392344451629,0.07940377879141769,0.03514122999244729,0.11099585194614625
1,25,cartoon,sketch,cartoon__sketch,-0.041958534076760756,-0.08597272741560047,-0.10970806565117719,-0.08210518227997976,0.018223195841184037,-0.05713769142116132,-0.09814182459227916,-0.11797588833275052,-0.07105004871809939,0.037303627680689955,-0.033012268475772766,-0.05734498365419238,-0.03806354857793204,-0.0156407152169864,0.05229370355203311,-0.04110599821523764,0.006696392344451629,-0.014636673908120068,-0.002303089184373386,0.01977293196266594
1,50,photo,art_painting,photo__art_painting,0.00017593244194225033,-0.004574243490499619,-0.03923293455313159,-0.0096762843068261,-0.034834623504574225,-0.021863301725270068,-0.010259962650266852,-0.02811364684891804,0.018790342356721057,0.0040096175266188805,-0.15285706165570123,-0.11618909985923154,-0.15408040728253458,-0.13194827238069906,0.11496575423239819,-0.2416919474767224,-0.12761888019119638,-0.20385501533022693,-0.20293602119725807,0.16545581233769185
1,50,photo,cartoon,photo__cartoon,0.00017593244194225033,-0.06219076490012454,-0.01662426243707038,0.008006279434850883,0.04539057002111191,-0.021863301725270068,-0.12462956728471264,-0.050131318367206745,-0.024989267767855927,0.09636155064277596,-0.15285706165570123,-0.021822845912719768,-0.10366403195646201,-0.06302245162330078,0.07101587561195899,-0.2416919474767224,-0.05651692910414896,-0.17832976575530884,-0.0965092517160887,0.11987911082556257
1,50,photo,sketch,photo__sketch,0.00017593244194225033,-0.2747772832072849,-0.024806474313863514,-0.020408163265306145,0.24979487645147913,-0.021863301725270068,-0.24976030673483263,0.01657360270871666,0.004225390315615862,0.28819721116881936,-0.15285706165570123,-0.08607049964052216,-0.09035032381674568,-0.044436280233210446,0.1485772374794777,-0.2416919474767224,-0.04964657521999083,0.03327393456421046,0.04245698518059682,0.3246124572609237
1,50,art_painting,cartoon,art_painting__cartoon,-0.004574243490499619,-0.06219076490012454,-0.019704433497537033,0.0,0.047060574893087126,-0.010259962650266852,-0.12462956728471264,-0.029379426792736196,-0.006341317423126491,0.1055101031422433,-0.11618909985923154,-0.021822845912719768,-0.1084605381108229,-0.04225445724005095,0.029551407661128404,-0.12761888019119638,-0.05651692910414896,-0.12714304754981753,-0.05728758423711933,0.05699276174552781
1,50,art_painting,sketch,art_painting__sketch,-0.004574243490499619,-0.2747772832072849,-0.06240345543539583,-0.03742104867959006,0.2169480712623887,-0.010259962650266852,-0.24976030673483263,-0.04826796914104725,-0.010590137012536305,0.21175230024405223,-0.11618909985923154,-0.08607049964052216,-0.10570202336528278,-0.06188644628699369,0.09655757613447091,-0.12761888019119638,-0.04964657521999083,0.0020860731548043576,7.474931383855132e-05,0.17935152856599157
1,50,cartoon,sketch,cartoon__sketch,-0.06219076490012454,-0.2747772832072849,-0.1777046011353972,-0.1197362148418879,0.15926344697201222,-0.12462956728471264,-0.24976030673483263,-0.20523970972854377,-0.11495601120783494,0.1691501642910015,-0.021822845912719768,-0.08607049964052216,-0.03421675468062135,-0.027605050658857877,0.07367659087262057,-0.05651692910414896,-0.04964657521999083,-0.04268250243937666,-0.022435139644288116,0.06348100188476313
1,100,photo,art_painting,photo__art_painting,0.015130190007037192,-0.012404590483408251,0.005277973258268842,0.010204081632653073,0.002552373734639901,-0.039029774906780834,0.007212289408451422,-0.01732917182361693,0.012189729454907261,0.014488313674712483,-0.17389088842829004,-0.13943364693905302,-0.12240067990608594,-0.1283960622212792,0.19092385546125712,-0.24805497036847096,-0.18477113725779598,-0.2000278348021674,-0.2184838846186971,0.23279827282409954
1,100,photo,cartoon,photo__cartoon,0.015130190007037192,-0.13734796904986013,0.015130190007037192,0.008006279434850883,0.13734796904986013,-0.039029774906780834,-0.21129278311973854,-0.04288801843509504,-0.03596215938826186,0.20743453959142433,-0.17389088842829004,-0.08346625367657778,-0.11010022138566289,-0.07218786132705446,0.14725692071920493,-0.24805497036847096,-0.09877014648731697,-0.13749491863385221,-0.13621950310759745,0.20933019822193571
