seed,N,intervention_domain,c,DeltaS_photo,DeltaS_art_painting,DeltaS_cartoon,DeltaS_sketch,DeltaS_local,DeltaS_cross_mean,DeltaS_cross_sum,cross_domains_improved,cross_domains_worsened,cross_domains_zero,singleton_class,cross_loss_exceeds_local_gain,DeltaV_contribution_photo,DeltaV_contribution_art_painting,DeltaV_contribution_cartoon,DeltaV_contribution_sketch,DeltaV_local_learning,DeltaV_cross_learning,DeltaV_routing_adjustment,DeltaV,negative_dominant_term
0,50,cartoon,0.0,-0.05981703026038021,-0.06379158628625581,-0.0161003789872618,-0.03566594794612554,-0.0161003789872618,-0.05309152149758719,-0.15927456449276156,0,3,0,C,False,0.0,-0.014705562769753128,-0.0010295889524064572,0.0,-0.00402509474681545,-0.03981864112319039,0.028108584147846255,-0.015735151722159585,cross_loss
0,50,cartoon,0.02,-0.05981703026038021,-0.06379158628625581,-0.0161003789872618,-0.03566594794612554,-0.0161003789872618,-0.05309152149758719,-0.15927456449276156,0,3,0,C,False,0.0,-0.015947896571563952,-0.00402509474681545,0.0,-0.00402509474681545,-0.03981864112319039,0.02387074455162644,-0.0199729913183794,cross_loss
0,50,cartoon,0.05,-0.05981703026038021,-0.06379158628625581,-0.0161003789872618,-0.03566594794612554,-0.0161003789872618,-0.05309152149758719,-0.15927456449276156,0,3,0,C,False,0.0,-0.015947896571563952,-0.00402509474681545,-0.003624332737084013,-0.00402509474681545,-0.03981864112319039,0.020246411814542425,-0.023597324055463414,cross_loss
0,50,cartoon,0.1,-0.05981703026038021,-0.06379158628625581,-0.0161003789872618,-0.03566594794612554,-0.0161003789872618,-0.05309152149758719,-0.15927456449276156,0,3,0,C,False,-0.011015367709313412,-0.015947896571563952,-0.00402509474681545,-0.008916486986531386,-0.00402509474681545,-0.03981864112319039,0.003938889855781641,-0.0399048460142242,cross_loss
0,50,cartoon,0.15,-0.05981703026038021,-0.06379158628625581,-0.0161003789872618,-0.03566594794612554,-0.0161003789872618,-0.05309152149758719,-0.15927456449276156,0,3,0,C,False,-0.014954257565095053,-0.015947896571563952,-0.00402509474681545,-0.008916486986531386,-0.00402509474681545,-0.03981864112319039,0.0,-0.04384373587000584,cross_loss
0,50,photo,0.0,0.016130713810675545,-0.06549787760089643,-0.14845744120794135,-0.19566372324828263,0.016130713810675545,-0.1365396806857068,-0.4096190420571204,0,3,0,A,True,0.0,-0.014705562769753128,-0.0010295889524064572,0.0,0.004032678452668886,-0.1024047605142801,0.08263693033945163,-0.015735151722159585,cross_loss
0,50,photo,0.02,0.016130713810675545,-0.06549787760089643,-0.14845744120794135,-0.19566372324828263,0.016130713810675545,-0.1365396806857068,-0.4096190420571204,0,3,0,A,True,0.0,-0.016374469400224106,-0.006029588952406462,0.0,0.004032678452668886,-0.1024047605142801,0.07596802370898065,-0.022404058352630568,cross_loss
0,50,photo,0.05,0.016130713810675545,-0.06549787760089643,-0.14845744120794135,-0.19566372324828263,0.016130713810675545,-0.1365396806857068,-0.4096190420571204,0,3,0,A,True,0.0025480461619823147,-0.016374469400224106,-0.013529588952406468,-0.003624332737084013,0.004032678452668886,-0.1024047605142801,0.06739173713387894,-0.030980344927732273,cross_loss
0,50,photo,0.1,0.016130713810675545,-0.06549787760089643,-0.14845744120794135,-0.19566372324828263,0.016130713810675545,-0.1365396806857068,-0.4096190420571204,0,3,0,A,True,0.004032678452668886,-0.016374469400224106,-0.02602958895240645,-0.016124332737083996,0.004032678452668886,-0.1024047605142801,0.04387636942456555,-0.05449571263704567,cross_loss
0,50,photo,0.15,0.016130713810675545,-0.06549787760089643,-0.14845744120794135,-0.19566372324828263,0.016130713810675545,-0.1365396806857068,-0.4096190420571204,0,3,0,A,True,0.004032678452668886,-0.016374469400224106,-0.03711436030198534,-0.028624332737084007,0.004032678452668886,-0.1024047605142801,0.02029159807498665,-0.07808048398662457,cross_loss
