state_type,seed,evaluation_split,test_used,ba_photo,ba_art_painting,ba_cartoon,ba_sketch,N,domain,domain_i,domain_j
Fij,1,validation,False,0.8988941139902525,0.681342584563323,0.7346403024233534,0.5163607917337355,50.0,,art_painting,cartoon
Fij,1,validation,False,0.8561950920523937,0.6624540422150119,0.7373988171688936,0.6455899124383574,50.0,,art_painting,sketch
Fij,1,validation,False,0.7408939463523924,0.5054823016275154,0.808884085853555,0.6008213368441764,50.0,,cartoon,sketch
Fij,1,validation,False,0.879365612934658,0.6826083645071411,0.6890204332516418,0.4396488239533261,50.0,,photo,art_painting
Fij,1,validation,False,0.9019742850507192,0.6605906929888524,0.7394368085777143,0.4651740735282442,50.0,,photo,cartoon
Fij,1,validation,False,0.8937920731739261,0.7272956140647758,0.7527505167174307,0.6767777738477635,50.0,,photo,sketch
Fij,2,validation,False,0.8764613743161336,0.6814931246783792,0.7443670525568484,0.6748326235283425,100.0,,art_painting,cartoon
Fij,2,validation,False,0.881164466775463,0.7150118643206699,0.735035875816689,0.7919928382475393,100.0,,art_painting,sketch
Fij,2,validation,False,0.7882752774060577,0.5109994998827888,0.7126971450696956,0.7271156529151487,100.0,,cartoon,sketch
Fij,2,validation,False,0.9057950086473843,0.7397368682522402,0.7322654473413756,0.5747461084708918,100.0,,photo,art_painting
Fij,2,validation,False,0.9103902715455234,0.7357409590939722,0.7790867931936917,0.6224288221686677,100.0,,photo,cartoon
Fij,2,validation,False,0.9197016589357286,0.7139682415008212,0.7916321808168485,0.7961181439828148,100.0,,photo,sketch
Fij,2,validation,False,0.920607385210913,0.7628742260105209,0.8095568818351324,0.7097609459367685,25.0,,art_painting,cartoon
Fij,2,validation,False,0.885549745791284,0.7491742005457895,0.782114019503945,0.7146639868556638,25.0,,art_painting,sketch
Fij,2,validation,False,0.8911585645257979,0.6651472346662785,0.8073067146641539,0.6594540892325896,25.0,,cartoon,sketch
Fij,2,validation,False,0.9204314527689706,0.7541807907960978,0.739268314480351,0.5728368708605796,25.0,,photo,art_painting
Fij,2,validation,False,0.9207833176528553,0.7196057167473395,0.7935832528129012,0.5930830736996134,25.0,,photo,cartoon
Fij,2,validation,False,0.8999972254381916,0.7306716264884601,0.7687907728962521,0.7501140778932676,25.0,,photo,sketch
Fij,2,validation,False,0.8910507349646075,0.736782491887251,0.7509029416469194,0.683919577685015,50.0,,art_painting,cartoon
Fij,2,validation,False,0.8852189003150388,0.7100564217131284,0.7667361219808064,0.7631887468039606,50.0,,art_painting,sketch
Fij,2,validation,False,0.8411676869487135,0.5566169808303871,0.7896586959417122,0.6910853031934767,50.0,,cartoon,sketch
Fij,2,validation,False,0.9204314527689706,0.736448115341484,0.743365672840367,0.5905793160468604,50.0,,photo,art_painting
Fij,2,validation,False,0.9251685966686762,0.7399920904528867,0.7720607720922029,0.642956191811507,50.0,,photo,cartoon
Fij,2,validation,False,0.8994563960796282,0.7464435816980995,0.7897994526665746,0.7191611183712717,50.0,,photo,sketch
Fij,3,validation,False,0.9158702413112074,0.7738810423357612,0.7722406808554138,0.6325929821005307,100.0,,art_painting,cartoon
Fij,3,validation,False,0.8759335769903067,0.7021108207619261,0.7583985039992053,0.7216719407886012,100.0,,art_painting,sketch
Fij,3,validation,False,0.7706425037904461,0.475862720055291,0.7660896175193731,0.6870209835708735,100.0,,cartoon,sketch
Fij,3,validation,False,0.9709030441987697,0.7945923800261137,0.6804577057818009,0.4971341706396714,100.0,,photo,art_painting
Fij,3,validation,False,0.961334589453134,0.715134406734676,0.7823834416005669,0.6346053353183345,100.0,,photo,cartoon
Fij,3,validation,False,0.9260062200631086,0.7035317504849544,0.7561302527202398,0.6477845011814745,100.0,,photo,sketch
Fij,3,validation,False,0.9156943088692652,0.751769972194167,0.8062912259206428,0.6698349350852172,25.0,,art_painting,cartoon
Fij,3,validation,False,0.875615763546798,0.6925717812655307,0.7950045066800023,0.6917806636939777,25.0,,art_painting,sketch
Fij,3,validation,False,0.7789428706082131,0.5310562297713011,0.8060702436277778,0.6714739115063304,25.0,,cartoon,sketch
Fij,3,validation,False,0.9361024721345713,0.7968831104057229,0.7118083581677453,0.6071178737886783,25.0,,photo,art_painting
Fij,3,validation,False,0.9405348346235046,0.7836994761245687,0.7911632866151148,0.6361480449487189,25.0,,photo,cartoon
Fij,3,validation,False,0.9015856620735058,0.6881529516755641,0.7675331626769343,0.7471555923417649,25.0,,photo,sketch
Fij,3,validation,False,0.8818812285759687,0.7121552994070109,0.7454563797865996,0.6737321006392533,50.0,,art_painting,cartoon
Fij,3,validation,False,0.8470466050713945,0.6852719039959528,0.778460686510175,0.6870244810912478,50.0,,art_painting,sketch
Fij,3,validation,False,0.7433233177472809,0.4601056657279304,0.7521829468517769,0.7954672666530415,50.0,,cartoon,sketch
Fij,3,validation,False,0.9311763637601871,0.7398797277486537,0.664346854556295,0.4869646568020251,50.0,,photo,art_painting
Fij,3,validation,False,0.9409945290685797,0.7331877134200105,0.7858382271776511,0.5681125068761312,50.0,,photo,cartoon
Fij,3,validation,False,0.9211141631291003,0.6740014570897748,0.7605604617628412,0.7280545525628722,50.0,,photo,sketch
Fij,4,validation,False,0.887301082835804,0.6656915917251327,0.7245641374047473,0.5742248631494301,100.0,,art_painting,cartoon
Fij,4,validation,False,0.8431079884679121,0.648346510869575,0.7066318915757019,0.7081332301676074,100.0,,art_painting,sketch
Fij,4,validation,False,0.7923131056135981,0.5367257698237438,0.7903324253038598,0.689094800545928,100.0,,cartoon,sketch
Fij,4,validation,False,0.8919093777666796,0.6708504565471262,0.6755965645382506,0.4502808603556902,100.0,,photo,art_painting
Fij,4,validation,False,0.8956380104878436,0.6994953576586415,0.7658026286672277,0.7160793987354132,100.0,,photo,cartoon
Fij,4,validation,False,0.8764613743161336,0.713529018782129,0.6871212275537805,0.7040724334681769,100.0,,photo,sketch
Fij,4,validation,False,0.9353987423668021,0.6814290049871629,0.7800344450909483,0.6762858235009327,25.0,,art_painting,cartoon
Fij,4,validation,False,0.8865973530680348,0.6807085433476124,0.7690756492955169,0.7644100655841602,25.0,,art_painting,sketch
Fij,4,validation,False,0.835928809788654,0.6637483406432418,0.8207652965094946,0.6672900011375524,25.0,,cartoon,sketch
Fij,4,validation,False,0.9313182447617534,0.6550548239408102,0.6865260850585092,0.5101065271853772,25.0,,photo,art_painting
Fij,4,validation,False,0.8806497014823726,0.6679954442253717,0.7757200895111697,0.6080847282440799,25.0,,photo,cartoon
Fij,4,validation,False,0.8759335769903067,0.6349070174551094,0.7639556914352997,0.7389029969929785,25.0,,photo,sketch
Fij,4,validation,False,0.8867732855099771,0.6806631427157924,0.7468741250027254,0.54148171664605,50.0,,art_painting,cartoon
Fij,4,validation,False,0.8721708928287667,0.6085277073420811,0.7384952842751911,0.6567797878006144,50.0,,art_painting,sketch
Fij,4,validation,False,0.8066899729858574,0.5969112452049663,0.7859407446142285,0.6539015150101497,50.0,,cartoon,sketch
Fij,4,validation,False,0.8869832693922953,0.6122865061144899,0.6528238784962703,0.481276031782858,50.0,,photo,art_painting
Fij,4,validation,False,0.8757576445483644,0.6829317182739788,0.741512096035283,0.5745104000818174,50.0,,photo,cartoon
Fij,4,validation,False,0.8861376586229597,0.6747557017282441,0.7322253073890318,0.6763246562172105,50.0,,photo,sketch
Fij_CM,0,validation,False,0.8896172113635963,0.7564875230008212,0.7691623770967094,0.7686395101319494,100.0,,art_painting,cartoon
Fij_CM,0,validation,False,0.8792241652562645,0.744280655441019,0.8017268268778875,0.6746363026516599,100.0,,art_painting,sketch
Fij_CM,0,validation,False,0.804899539843128,0.6032744441060006,0.8055289296881376,0.6182796031428403,100.0,,cartoon,sketch
