seed,N,domain_i,domain_j,pair,c,V_F0,V_Fij,V_Fij_CM,DeltaV_ij,DeltaV_ij_CM,D_dose,routing_Fij_CM
0,100,photo,art_painting,photo__art_painting,0.0,0.8415327641275345,0.8326361372890126,0.8312648608391816,-0.008896626838521882,-0.01026790328835292,0.0013712764498310381,"D,F,D,D"
0,100,photo,art_painting,photo__art_painting,0.02,0.8315327641275345,0.8176361372890126,0.8162648608391816,-0.013896626838521886,-0.015267903288352924,0.0013712764498310381,"D,F,D,D"
0,100,photo,art_painting,photo__art_painting,0.05,0.8201570968646186,0.796543880586554,0.7951286210262374,-0.023613216278064564,-0.025028475838381192,0.0014152595603166285,"F,F,D,D"
0,100,photo,art_painting,photo__art_painting,0.1,0.818672464573932,0.7715438805865541,0.7701286210262375,-0.04712858398737785,-0.048543843547694476,0.0014152595603166285,"F,F,D,D"
0,100,photo,art_painting,photo__art_painting,0.15,0.818672464573932,0.7465438805865541,0.7451286210262376,-0.07212858398737787,-0.07354384354769439,0.0014152595603165175,"F,F,D,D"
0,100,photo,cartoon,photo__cartoon,0.0,0.8415327641275345,0.8293608248073822,0.8327497831663214,-0.01217193932015237,-0.008782980961213105,-0.0033889583589392647,"D,F,D,D"
0,100,photo,cartoon,photo__cartoon,0.02,0.8315327641275345,0.8143608248073821,0.8177497831663214,-0.017171939320152374,-0.01378298096121311,-0.0033889583589392647,"D,F,D,D"
0,100,photo,cartoon,photo__cartoon,0.05,0.8201570968646186,0.8057569579697974,0.8046956588217372,-0.014400138894821168,-0.01546143804288136,0.0010612991480601908,"D,F,F,F"
0,100,photo,cartoon,photo__cartoon,0.1,0.818672464573932,0.8057569579697974,0.8033699332528048,-0.012915506604134541,-0.015302531321127133,0.0023870247169925918,"F,F,F,F"
0,100,photo,cartoon,photo__cartoon,0.15,0.818672464573932,0.8057569579697974,0.8033699332528048,-0.012915506604134541,-0.015302531321127133,0.0023870247169925918,"F,F,F,F"
0,100,photo,sketch,photo__sketch,0.0,0.8415327641275345,0.8295901873038863,0.8346260311779639,-0.011942576823648188,-0.006906732949570671,-0.005035843874077517,"D,F,D,D"
0,100,photo,sketch,photo__sketch,0.02,0.8315327641275345,0.8145901873038863,0.8196260311779638,-0.016942576823648192,-0.011906732949570675,-0.005035843874077517,"D,F,D,D"
