kind,seed,N,domain,equal,max_abs_difference,abs_difference_photo,abs_difference_art_painting,abs_difference_cartoon,abs_difference_sketch
singleton,3,25,sketch,False,0.08107708362546484,0.04427676454531693,0.06903497193588087,0.023902194060581916,0.08107708362546484
singleton,3,50,photo,False,0.11513550312063114,0.004608294930875556,0.03044070731199,0.015810866467460438,0.11513550312063114
singleton,3,50,art_painting,False,0.028087508491395075,0.014744273682776865,0.0034666445787531197,0.00927948555988345,0.028087508491395075
singleton,3,50,cartoon,False,0.048088378587401004,0.020525859013067027,0.030725267326097705,0.02130439579261878,0.048088378587401004
singleton,3,50,sketch,False,0.12367062682294272,0.014502996753115949,0.0524484630196671,0.004088730430286791,0.12367062682294272
singleton,3,100,photo,False,0.10909473115692903,0.009710335747201926,0.017358160860573513,0.017003947963041277,0.10909473115692903
singleton,3,100,art_painting,False,0.07653170054981406,0.0049261083743842304,0.019132319070597537,0.07653170054981406,0.03490649021864367
singleton,3,100,cartoon,False,0.044898121793112256,0.029202275968523983,0.02596710325921414,0.044898121793112256,0.03153445322177029
singleton,3,100,sketch,False,0.07170173475515851,0.06724218774910024,0.03770736364721319,0.07170173475515851,0.022167032578526924
singleton,4,25,photo,False,0.021001282617050254,0.0061235840276043785,0.01358683479566225,0.021001282617050254,0.007044540165174862
singleton,4,25,art_painting,False,0.01693264572381814,0.014636444121586378,0.01693264572381814,0.014864337061475053,0.00544634551527623
singleton,4,25,cartoon,False,0.13343297573812107,0.03979478331933428,0.022330744995572527,0.03112346938883903,0.13343297573812107
singleton,4,25,sketch,False,0.11958456739143275,0.003401360544217691,0.11958456739143275,0.013255405301483947,0.04193085603784574
singleton,4,50,photo,False,0.03356683095457408,0.005561735261401801,0.001337059898597337,0.01626923809490677,0.03356683095457408
singleton,4,50,art_painting,False,0.012419376816662275,0.010345962634219386,0.005095690836204869,0.003949644491134663,0.012419376816662275
singleton,4,50,cartoon,False,0.3256399112795729,0.016117681777939374,0.006563183858165456,0.026065294029638753,0.3256399112795729
singleton,4,50,sketch,False,0.12334183518517683,0.041319152800163406,0.1101465719772593,0.06123989461012325,0.12334183518517683
singleton,4,100,photo,False,0.0206622628229568,0.00035186488388450066,0.01864168509795927,0.0206622628229568,0.01923866564351462
singleton,4,100,art_painting,False,0.03973495450655107,0.01460239268121033,0.026341653168047374,0.03808784344737959,0.03973495450655107
singleton,4,100,cartoon,False,0.07430323560346719,0.025016458196181812,0.021078101169078378,0.02032962793361759,0.07430323560346719
singleton,4,100,sketch,False,0.08461468262250149,0.035789955581787825,0.08461468262250149,0.060406966855254485,0.0076196820194641135
