seed,domain,N,method,c,V_F0,V,DeltaV,routing_F0,routing,DeltaV_contribution_photo,DeltaV_contribution_art_painting,DeltaV_contribution_cartoon,DeltaV_contribution_sketch
0,art_painting,25,STD,0.15,0.818672464573932,0.774105532851884,-0.04456693172204795,"F,F,F,F","F,F,F,F",0.0002501309509095606,-0.0073084496956677125,-0.020436061275409423,-0.01707255170188038
0,art_painting,25,O50,0.0,0.8415327641275345,0.8362972534767813,-0.005235510650753228,"D,F,F,D","D,F,D,D",0.0,-0.004205921698346798,-0.0010295889524064572,0.0
0,art_painting,25,O50,0.02,0.8315327641275345,0.8212972534767813,-0.010235510650753232,"D,F,F,D","D,F,D,D",0.0,-0.004205921698346798,-0.006029588952406462,0.0
0,art_painting,25,O50,0.05,0.8201570968646186,0.7987972534767812,-0.021359843387837363,"D,F,F,F","D,F,D,D",0.0,-0.004205921698346798,-0.013529588952406468,-0.003624332737084013
0,art_painting,25,O50,0.1,0.818672464573932,0.7768578579485674,-0.041814606625364514,"F,F,F,F","F,F,F,D",-0.000981396142686497,-0.004205921698346798,-0.020502956047247084,-0.016124332737083996
0,art_painting,25,O50,0.15,0.818672464573932,0.7643578579485675,-0.05431460662536447,"F,F,F,F","F,F,F,D",-0.000981396142686497,-0.004205921698346798,-0.020502956047247084,-0.028624332737084007
0,art_painting,25,REP,0.0,0.8415327641275345,0.8390462189964797,-0.0024865451310548403,"D,F,F,D","D,F,D,D",0.0,-0.0014569561786484386,-0.0010295889524064572,0.0
0,art_painting,25,REP,0.02,0.8315327641275345,0.8240462189964797,-0.007486545131054845,"D,F,F,D","D,F,D,D",0.0,-0.0014569561786484386,-0.006029588952406462,0.0
0,art_painting,25,REP,0.05,0.8201570968646186,0.8034582193464922,-0.016698877518126376,"D,F,F,F","D,F,F,D",0.0,-0.0014569561786484386,-0.011617588602393814,-0.003624332737084013
0,art_painting,25,REP,0.1,0.818672464573932,0.7907920951825647,-0.027880369391367288,"F,F,F,F","F,F,F,F",7.945336087714083e-05,-0.0014569561786484386,-0.011617588602393814,-0.01488527797120201
0,art_painting,25,REP,0.15,0.818672464573932,0.7907920951825647,-0.027880369391367288,"F,F,F,F","F,F,F,F",7.945336087714083e-05,-0.0014569561786484386,-0.011617588602393814,-0.01488527797120201
0,art_painting,25,REP2,0.0,0.8415327641275345,0.8299734081491766,-0.011559355978357888,"D,F,F,D","D,F,D,D",0.0,-0.010529767025951486,-0.0010295889524064572,0.0
0,art_painting,25,REP2,0.02,0.8315327641275345,0.8149734081491766,-0.016559355978357893,"D,F,F,D","D,F,D,D",0.0,-0.010529767025951486,-0.006029588952406462,0.0
0,art_painting,25,REP2,0.05,0.8201570968646186,0.7924734081491764,-0.027683688715442134,"D,F,F,F","D,F,D,D",0.0,-0.010529767025951486,-0.013529588952406468,-0.003624332737084013
0,art_painting,25,REP2,0.1,0.818672464573932,0.7750217559134192,-0.043650708660512794,"F,F,F,F","F,F,F,D",3.547025039157825e-05,-0.010529767025951486,-0.017032079147868806,-0.016124332737083996
0,art_painting,25,REP2,0.15,0.818672464573932,0.7625217559134192,-0.05615070866051275,"F,F,F,F","F,F,F,D",3.547025039157825e-05,-0.010529767025951486,-0.017032079147868806,-0.028624332737084007
0,cartoon,25,STD,0.0,0.8415327641275345,0.830512602617223,-0.011020161510311488,"D,F,F,D","D,F,D,D",0.0,-0.00999057255790503,-0.0010295889524064572,0.0
0,cartoon,25,STD,0.02,0.8315327641275345,0.8196345343306328,-0.011898229796901694,"D,F,F,D","D,F,F,D",0.0,-0.00999057255790503,-0.0019076572389966073,0.0
0,cartoon,25,STD,0.05,0.8201570968646186,0.8046345343306328,-0.015522562533985762,"D,F,F,F","D,F,F,D",0.0,-0.00999057255790503,-0.0019076572389966073,-0.003624332737084013
0,cartoon,25,STD,0.1,0.818672464573932,0.7893711338276804,-0.02930133074625152,"F,F,F,F","F,F,F,D",-0.0012787682122657462,-0.00999057255790503,-0.0019076572389966073,-0.016124332737083996
0,cartoon,25,STD,0.15,0.818672464573932,0.78406024024496,-0.03461222432897193,"F,F,F,F","F,F,F,F",-0.0012787682122657462,-0.00999057255790503,-0.0019076572389966073,-0.02143522631980438
0,cartoon,25,O50,0.0,0.8415327641275345,0.8325534189437537,-0.008979345183780851,"D,F,F,D","D,F,D,D",0.0,-0.007949756231374422,-0.0010295889524064572,0.0
0,cartoon,25,O50,0.02,0.8315327641275345,0.8205313672863059,-0.011001396841228583,"D,F,F,D","D,F,F,D",0.0,-0.007949756231374422,-0.003051640609854217,0.0
0,cartoon,25,O50,0.05,0.8201570968646186,0.8055313672863058,-0.014625729578312763,"D,F,F,F","D,F,F,D",0.0,-0.007949756231374422,-0.003051640609854217,-0.003624332737084013
0,cartoon,25,O50,0.1,0.818672464573932,0.7914994938769495,-0.027172970696982435,"F,F,F,F","F,F,F,D",-4.724111866968861e-05,-0.007949756231374422,-0.003051640609854217,-0.016124332737083996
0,cartoon,25,O50,0.15,0.818672464573932,0.7913819663174239,-0.02729049825650809,"F,F,F,F","F,F,F,F",-4.724111866968861e-05,-0.007949756231374422,-0.003051640609854217,-0.016241860296609623
0,cartoon,25,REP,0.0,0.8415327641275345,0.8379208264461628,-0.003611937681371691,"D,F,F,D","D,F,D,D",0.0,-0.002582348728965289,-0.0010295889524064572,0.0
0,cartoon,25,REP,0.02,0.8315327641275345,0.8253110918017091,-0.006221672325825378,"D,F,F,D","D,F,F,D",0.0,-0.002582348728965289,-0.0036393235968601167,0.0
0,cartoon,25,REP,0.05,0.8201570968646186,0.8168728990892217,-0.003284197775396902,"D,F,F,F","F,F,F,F",0.0010224050069910506,-0.002582348728965289,-0.0036393235968601167,0.0019150695434375642
0,cartoon,25,REP,0.1,0.818672464573932,0.8168728990892217,-0.0017995654847102749,"F,F,F,F","F,F,F,F",0.002507037297677678,-0.002582348728965289,-0.0036393235968601167,0.0019150695434375642
0,cartoon,25,REP,0.15,0.818672464573932,0.8168728990892217,-0.0017995654847102749,"F,F,F,F","F,F,F,F",0.002507037297677678,-0.002582348728965289,-0.0036393235968601167,0.0019150695434375642
0,cartoon,25,REP2,0.0,0.8415327641275345,0.8368432613536162,-0.00468950277391833,"D,F,F,D","D,F,D,D",0.0,-0.0036599138215118454,-0.0010295889524064572,0.0
0,cartoon,25,REP2,0.02,0.8315327641275345,0.8261458095771332,-0.0053869545504012795,"D,F,F,D","D,F,F,D",0.0,-0.0036599138215118454,-0.0017270407288894618,0.0
0,cartoon,25,REP2,0.05,0.8201570968646186,0.814110698666573,-0.006046398198045533,"D,F,F,F","F,F,F,F",0.0022099489901015457,-0.0036599138215118454,-0.0017270407288894618,-0.0028693926377456047
0,cartoon,25,REP2,0.1,0.818672464573932,0.814110698666573,-0.004561765907358906,"F,F,F,F","F,F,F,F",0.003694581280788173,-0.0036599138215118454,-0.0017270407288894618,-0.0028693926377456047
0,cartoon,25,REP2,0.15,0.818672464573932,0.814110698666573,-0.004561765907358906,"F,F,F,F","F,F,F,F",0.003694581280788173,-0.0036599138215118454,-0.0017270407288894618,-0.0028693926377456047
0,sketch,25,STD,0.0,0.8415327641275345,0.825797612405375,-0.015735151722159557,"D,F,F,D","D,D,D,D",0.0,-0.014705562769753128,-0.0010295889524064572,0.0
0,sketch,25,STD,0.02,0.8315327641275345,0.8088565125513207,-0.02267625157621378,"D,F,F,D","D,D,F,D",0.0,-0.019705562769753132,-0.002970688806460675,0.0
0,sketch,25,STD,0.05,0.8201570968646186,0.7863565125513207,-0.03380058431329791,"D,F,F,F","D,D,F,D",0.0,-0.02720556276975314,-0.002970688806460675,-0.003624332737084013
0,sketch,25,STD,0.1,0.818672464573932,0.7488565125513207,-0.06981595202261126,"F,F,F,F","D,D,F,D",-0.011015367709313356,-0.03970556276975312,-0.002970688806460675,-0.016124332737083996
0,sketch,25,STD,0.15,0.818672464573932,0.7180112008083595,-0.1006612637655725,"F,F,F,F","D,F,F,F",-0.023515367709313367,-0.050202821374687595,-0.002970688806460675,-0.023972385875110885
0,sketch,25,O50,0.0,0.8415327641275345,0.825797612405375,-0.015735151722159557,"D,F,F,D","D,D,D,D",0.0,-0.014705562769753128,-0.0010295889524064572,0.0
0,sketch,25,O50,0.02,0.8315327641275345,0.8076998082505517,-0.023832955876982864,"D,F,F,D","D,D,F,D",0.0,-0.019705562769753132,-0.00412739310722976,0.0
0,sketch,25,O50,0.05,0.8201570968646186,0.7851998082505516,-0.034957288614066995,"D,F,F,F","D,D,F,D",0.0,-0.02720556276975314,-0.00412739310722976,-0.003624332737084013
0,sketch,25,O50,0.1,0.818672464573932,0.7527426685783348,-0.06592979599559712,"F,F,F,F","D,D,F,F",-0.011015367709313356,-0.03970556276975312,-0.00412739310722976,-0.011081472409300797
0,sketch,25,O50,0.15,0.818672464573932,0.7349807798479803,-0.08369168472595168,"F,F,F,F","D,F,F,F",-0.023515367709313367,-0.04496745150010775,-0.00412739310722976,-0.011081472409300797
0,sketch,25,REP,0.0,0.8415327641275345,0.835205705309989,-0.006327058817545472,"D,F,F,D","D,F,D,D",0.0,-0.005297469865139043,-0.0010295889524064572,0.0
0,sketch,25,REP,0.02,0.8315327641275345,0.8251882388894454,-0.006344525238089149,"D,F,F,D","D,F,F,D",0.0,-0.005297469865139043,-0.001047055372950162,0.0
0,sketch,25,REP,0.05,0.8201570968646186,0.8101882388894452,-0.009968857975173329,"D,F,F,F","D,F,F,D",0.0,-0.005297469865139043,-0.001047055372950162,-0.003624332737084013
0,sketch,25,REP,0.1,0.818672464573932,0.7969750813201963,-0.021697383253735603,"F,F,F,F","F,F,F,F",-0.006292842807621157,-0.005297469865139043,-0.001047055372950162,-0.009060015208025185
0,sketch,25,REP,0.15,0.818672464573932,0.7969750813201963,-0.021697383253735603,"F,F,F,F","F,F,F,F",-0.006292842807621157,-0.005297469865139043,-0.001047055372950162,-0.009060015208025185
0,sketch,25,REP2,0.0,0.8415327641275345,0.8275145372811253,-0.014018226846409187,"D,F,F,D","D,D,F,D",0.0,-0.014705562769753128,0.0006873359233439125,0.0
0,sketch,25,REP2,0.02,0.8315327641275345,0.817072111030709,-0.014460653096825538,"D,F,F,D","D,F,F,D",0.0,-0.015147989020169478,0.0006873359233439125,0.0
0,sketch,25,REP2,0.05,0.8201570968646186,0.8020721110307089,-0.018084985833909717,"D,F,F,F","D,F,F,D",0.0,-0.015147989020169478,0.0006873359233439125,-0.003624332737084013
0,sketch,25,REP2,0.1,0.818672464573932,0.7794110351060862,-0.03926142946784572,"F,F,F,F","F,F,F,D",-0.008676443633936104,-0.015147989020169478,0.0006873359233439125,-0.016124332737083996
0,sketch,25,REP2,0.15,0.818672464573932,0.7790798469528383,-0.03959261762109367,"F,F,F,F","F,F,F,F",-0.008676443633936104,-0.015147989020169478,0.0006873359233439125,-0.016455520890331976
0,photo,50,STD,0.0,0.8415327641275345,0.825797612405375,-0.015735151722159557,"D,F,F,D","D,D,D,D",0.0,-0.014705562769753128,-0.0010295889524064572,0.0
0,photo,50,STD,0.02,0.8315327641275345,0.8091287057749039,-0.022404058352630596,"D,F,F,D","D,F,D,D",0.0,-0.016374469400224106,-0.006029588952406462,0.0
0,photo,50,STD,0.05,0.8201570968646186,0.7891767519368862,-0.030980344927732384,"D,F,F,F","F,F,D,D",0.002548046161982287,-0.016374469400224106,-0.013529588952406468,-0.003624332737084013
0,photo,50,STD,0.1,0.818672464573932,0.7641767519368863,-0.05449571263704567,"F,F,F,F","F,F,D,D",0.004032678452668914,-0.016374469400224106,-0.02602958895240645,-0.016124332737083996
0,photo,50,STD,0.15,0.818672464573932,0.7405919805873074,-0.0780804839866246,"F,F,F,F","F,F,F,D",0.004032678452668914,-0.016374469400224106,-0.03711436030198534,-0.028624332737084007
0,photo,50,O50,0.0,0.8415327641275345,0.825797612405375,-0.015735151722159557,"D,F,F,D","D,D,D,D",0.0,-0.014705562769753128,-0.0010295889524064572,0.0
0,photo,50,O50,0.02,0.8315327641275345,0.8093748568669198,-0.02215790726061473,"D,F,F,D","D,F,D,D",0.0,-0.016128318308208323,-0.006029588952406462,0.0
0,photo,50,O50,0.05,0.8201570968646186,0.7919771814452493,-0.02817991541936926,"D,F,F,F","F,F,D,D",0.005102324578329653,-0.016128318308208323,-0.013529588952406468,-0.003624332737084013
0,photo,50,O50,0.1,0.818672464573932,0.7669771814452494,-0.051695283128682545,"F,F,F,F","F,F,D,D",0.0065869568690162805,-0.016128318308208323,-0.02602958895240645,-0.016124332737083996
0,photo,50,O50,0.15,0.818672464573932,0.7419771814452494,-0.07669528312868257,"F,F,F,F","F,F,D,D",0.0065869568690162805,-0.016128318308208323,-0.03852958895240646,-0.028624332737084007
0,photo,50,REP,0.0,0.8415327641275345,0.8377086088018387,-0.0038241553256957994,"D,F,F,D","D,F,D,D",0.0,-0.0027945663732893145,-0.0010295889524064572,0.0
0,photo,50,REP,0.02,0.8315327641275345,0.8227086088018387,-0.008824155325695804,"D,F,F,D","D,F,D,D",0.0,-0.0027945663732893145,-0.006029588952406462,0.0
0,photo,50,REP,0.05,0.8201570968646186,0.8008956995122402,-0.019261397352378418,"D,F,F,F","D,F,F,D",0.0,-0.0027945663732893145,-0.01284249824200498,-0.003624332737084013
0,photo,50,REP,0.1,0.818672464573932,0.7915883827069059,-0.027084081867026044,"F,F,F,F","F,F,F,F",0.0013549635649587888,-0.0027945663732893145,-0.01284249824200498,-0.012801980816690484
0,photo,50,REP,0.15,0.818672464573932,0.7915883827069059,-0.027084081867026044,"F,F,F,F","F,F,F,F",0.0013549635649587888,-0.0027945663732893145,-0.01284249824200498,-0.012801980816690484
0,photo,50,REP2,0.0,0.8415327641275345,0.834364227058568,-0.007168537068966474,"D,F,F,D","D,F,D,D",0.0,-0.006138948116560072,-0.0010295889524064572,0.0
0,photo,50,REP2,0.02,0.8315327641275345,0.819364227058568,-0.012168537068966478,"D,F,F,D","D,F,D,D",0.0,-0.006138948116560072,-0.006029588952406462,0.0
0,photo,50,REP2,0.05,0.8201570968646186,0.7968642270585679,-0.02329286980605072,"D,F,F,F","D,F,D,D",0.0,-0.006138948116560072,-0.013529588952406468,-0.003624332737084013
0,photo,50,REP2,0.1,0.818672464573932,0.792091654589535,-0.026580809984396936,"F,F,F,F","F,F,F,F",0.001390433815350367,-0.006138948116560072,-0.013653867569497824,-0.008178428113689351
0,photo,50,REP2,0.15,0.818672464573932,0.792091654589535,-0.026580809984396936,"F,F,F,F","F,F,F,F",0.001390433815350367,-0.006138948116560072,-0.013653867569497824,-0.008178428113689351
0,art_painting,50,STD,0.0,0.8415327641275345,0.8407890488857016,-0.0007437152418329207,"D,F,F,D","D,F,D,D",0.0,0.00028587371057350874,-0.0010295889524064572,0.0
0,art_painting,50,STD,0.02,0.8315327641275345,0.8257890488857016,-0.005743715241832925,"D,F,F,D","D,F,D,D",0.0,0.00028587371057350874,-0.006029588952406462,0.0
0,art_painting,50,STD,0.05,0.8201570968646186,0.8032890488857015,-0.016868047978917056,"D,F,F,F","D,F,D,D",0.0,0.00028587371057350874,-0.013529588952406468,-0.003624332737084013
0,art_painting,50,STD,0.1,0.818672464573932,0.7758262784605126,-0.04284618611341939,"F,F,F,F","F,F,D,D",-0.000978138134502371,0.00028587371057350874,-0.02602958895240645,-0.016124332737083996
0,art_painting,50,STD,0.15,0.818672464573932,0.762723660481273,-0.0559488040926589,"F,F,F,F","F,F,F,D",-0.000978138134502371,0.00028587371057350874,-0.026632206931645863,-0.028624332737084007
0,art_painting,50,O50,0.0,0.8415327641275345,0.8428000287162303,0.001267264588695749,"D,F,F,D","D,F,D,D",0.0,0.002296853541102206,-0.0010295889524064572,0.0
0,art_painting,50,O50,0.02,0.8315327641275345,0.8278000287162303,-0.0037327354113042555,"D,F,F,D","D,F,D,D",0.0,0.002296853541102206,-0.006029588952406462,0.0
0,art_painting,50,O50,0.05,0.8201570968646186,0.8053000287162302,-0.014857068148388386,"D,F,F,F","D,F,D,D",0.0,0.002296853541102206,-0.013529588952406468,-0.003624332737084013
0,art_painting,50,O50,0.1,0.818672464573932,0.7802424544692649,-0.03843001010466707,"F,F,F,F","F,F,F,D",0.00025338895909368664,0.002296853541102206,-0.02485591986777891,-0.016124332737083996
0,art_painting,50,O50,0.15,0.818672464573932,0.7677424544692648,-0.050930010104667134,"F,F,F,F","F,F,F,D",0.00025338895909368664,0.002296853541102206,-0.02485591986777891,-0.028624332737084007
0,art_painting,50,REP,0.0,0.8415327641275345,0.8359624390063479,-0.005570325121186603,"D,F,F,D","D,F,D,D",0.0,-0.004540736168780118,-0.0010295889524064572,0.0
0,art_painting,50,REP,0.02,0.8315327641275345,0.8209624390063479,-0.010570325121186608,"D,F,F,D","D,F,D,D",0.0,-0.004540736168780118,-0.006029588952406462,0.0
0,art_painting,50,REP,0.05,0.8201570968646186,0.7984624390063478,-0.02169465785827074,"D,F,F,F","D,F,D,D",0.0,-0.004540736168780118,-0.013529588952406468,-0.003624332737084013
0,art_painting,50,REP,0.1,0.818672464573932,0.7809368225529616,-0.03773564202097035,"F,F,F,F","F,F,F,D",-0.0011166034823273108,-0.004540736168780118,-0.01595396963277876,-0.016124332737083996
0,art_painting,50,REP,0.15,0.818672464573932,0.7684368225529616,-0.050235642020970306,"F,F,F,F","F,F,F,D",-0.0011166034823273108,-0.004540736168780118,-0.01595396963277876,-0.028624332737084007
0,art_painting,50,REP2,0.0,0.8415327641275345,0.825797612405375,-0.015735151722159557,"D,F,F,D","D,D,D,D",0.0,-0.014705562769753128,-0.0010295889524064572,0.0
0,art_painting,50,REP2,0.02,0.8315327641275345,0.8101342179562101,-0.021398546171324417,"D,F,F,D","D,F,D,D",0.0,-0.015368957218917928,-0.006029588952406462,0.0
0,art_painting,50,REP2,0.05,0.8201570968646186,0.78763421795621,-0.03252287890840855,"D,F,F,F","D,F,D,D",0.0,-0.015368957218917928,-0.013529588952406468,-0.003624332737084013
0,art_painting,50,REP2,0.1,0.818672464573932,0.7679545563537707,-0.0507179082201612,"F,F,F,F","F,F,F,D",-0.004637249164898938,-0.015368957218917928,-0.014587369099260228,-0.016124332737083996
0,art_painting,50,REP2,0.15,0.818672464573932,0.7554545563537707,-0.06321790822016127,"F,F,F,F","F,F,F,D",-0.004637249164898938,-0.015368957218917928,-0.014587369099260228,-0.028624332737084007
0,cartoon,50,STD,0.0,0.8415327641275345,0.825797612405375,-0.015735151722159557,"D,F,F,D","D,D,D,D",0.0,-0.014705562769753128,-0.0010295889524064572,0.0
0,cartoon,50,STD,0.02,0.8315327641275345,0.8115597728091551,-0.019972991318379374,"D,F,F,D","D,F,F,D",0.0,-0.015947896571563952,-0.00402509474681545,0.0
0,cartoon,50,STD,0.05,0.8201570968646186,0.796559772809155,-0.023597324055463553,"D,F,F,F","D,F,F,D",0.0,-0.015947896571563952,-0.00402509474681545,-0.003624332737084013
