seed,domain,N,c,O50,REP,REP2,STD,DeltaQ,O50_minus_STD,REP_minus_STD,REP2_minus_STD,REP2_minus_O50,REP2_minus_REP,DeltaI,DeltaL,G_cross_recovered,local_sacrifice,cross_recovery_exceeds_local_sacrifice,G_plus_DeltaL
0,sketch,50,0.05,-0.04435948445924376,-0.015011432694183147,-0.026098912929498064,-0.04435948445924376,0.029348051765060612,0.0,0.029348051765060612,0.018260571529745695,0.018260571529745695,-0.011087480235314917,-0.6342003082230063,0.0997669524162843,0.6342003082230063,0.0,False,0.7339672606392906
0,sketch,50,0.1,-0.09287485216855706,-0.03732817919256004,-0.04961428063881135,-0.09287485216855706,0.055546672975997025,0.0,0.055546672975997025,0.04326057152974572,0.04326057152974572,-0.012286101446251307,-0.6342003082230063,0.0997669524162843,0.6342003082230063,0.0,False,0.7339672606392906
0,sketch,50,0.15,-0.13070043896322792,-0.049828179192559996,-0.06461024070866317,-0.13069770947744452,0.08087225977066792,-2.7294857833926045e-06,0.08086953028488453,0.06608746876878135,0.06609019825456475,-0.014782061516103173,-0.6342003082230063,0.0997669524162843,0.6342003082230063,0.0,False,0.7339672606392906
0,sketch,100,0.0,-0.015735151722159557,-0.01005074258275096,-0.01525355219108604,-0.015735151722159557,0.005684409139408597,0.0,0.005684409139408597,0.0004815995310735177,0.0004815995310735177,-0.0052028096083350794,-0.9882124156232303,0.09268284368257057,0.9882124156232303,0.0,False,1.0808952593058008
0,sketch,100,0.02,-0.025735151722159566,-0.010126331246660514,-0.020253552191086044,-0.025735151722159566,0.015608820475499052,0.0,0.015608820475499052,0.005481599531073522,0.005481599531073522,-0.01012722094442553,-0.9882124156232303,0.09268284368257057,0.9882124156232303,0.0,False,1.0808952593058008
0,sketch,100,0.05,-0.04435948445924376,-0.013750663983744582,-0.026146055354235198,-0.04435948445924376,0.030608820475499177,0.0,0.030608820475499177,0.01821342910500856,0.01821342910500856,-0.012395391370490616,-0.9882124156232303,0.09268284368257057,0.9882124156232303,0.0,False,1.0808952593058008
0,sketch,100,0.1,-0.09287485216855706,-0.0346684638066771,-0.04966142306354848,-0.09287485216855706,0.05820638836187997,0.0,0.05820638836187997,0.04321342910500858,0.04321342910500858,-0.014992959256871385,-0.9882124156232303,0.09268284368257057,0.9882124156232303,0.0,False,1.0808952593058008
0,sketch,100,0.15,-0.1428748521685571,-0.04716846380667705,-0.06953950839729883,-0.1428748521685571,0.09570638836188006,0.0,0.09570638836188006,0.07333534377125828,0.07333534377125828,-0.02237104459062178,-0.9882124156232303,0.09268284368257057,0.9882124156232303,0.0,False,1.0808952593058008
1,art_painting,25,0.0,-0.012504619869208256,-0.0054345861045260735,-0.009071055481780999,-0.012504619869208256,0.007070033764682182,0.0,0.007070033764682182,0.003433564387427257,0.003433564387427257,-0.003636469377254925,-0.1052763927668472,0.011795903901167026,0.1052763927668472,0.0,False,0.11707229666801422
1,art_painting,25,0.02,-0.015731168257307693,-0.0054345861045260735,-0.009071055481780999,-0.014679082029651846,0.01029658215278162,-0.0010520862276558463,0.009244495925125773,0.005608026547870848,0.006660112775526694,-0.003636469377254925,-0.1052763927668472,0.011795903901167026,0.1052763927668472,0.0,False,0.11707229666801422
1,art_painting,25,0.05,-0.014742244021205497,-0.0003531250205072167,-0.006184397527432606,-0.010525693345907472,0.01438911900069828,-0.004216550675298025,0.010172568325400255,0.004341295818474866,0.008557846493772892,-0.005831272506925389,-0.1052763927668472,0.011795903901167026,0.1052763927668472,0.0,False,0.11707229666801422
1,art_painting,25,0.1,-0.021031324049235023,0.003931806807276783,-0.00857887289549697,-0.016814773373936998,0.024963130856511806,-0.004216550675298025,0.02074658018121378,0.008235900478440028,0.012452451153738053,-0.012510679702773753,-0.1052763927668472,0.011795903901167026,0.1052763927668472,0.0,False,0.11707229666801422
1,art_painting,25,0.15,-0.025336267359726716,0.003931806807276783,-0.00857887289549697,-0.02009780972070252,0.0292680741670035,-0.005238457639024197,0.024029616527979303,0.01151893682520555,0.016757394464229747,-0.012510679702773753,-0.1052763927668472,0.011795903901167026,0.1052763927668472,0.0,False,0.11707229666801422
1,art_painting,50,0.0,-0.012504619869208256,-0.012180475784911438,-0.012504619869208256,-0.012504619869208256,0.00032414408429681796,0.0,0.00032414408429681796,0.0,0.0,-0.00032414408429681796,-0.1691779335774215,-0.0013004474961604284,0.1691779335774215,0.0013004474961604284,True,0.16787748608126107
1,art_painting,50,0.02,-0.01750461986920815,-0.012180475784911438,-0.015576193967116625,-0.01750461986920815,0.005324144084296711,0.0,0.005324144084296711,0.001928425902091524,0.001928425902091524,-0.0033957181822051874,-0.1691779335774215,-0.0013004474961604284,0.1691779335774215,0.0013004474961604284,True,0.16787748608126107
1,art_painting,50,0.05,-0.022994797389798705,-0.0061041625557766155,-0.013601426142556439,-0.028029643055626274,0.01689063483402209,0.00503484566582757,0.02192548049984966,0.014428216913069836,0.009393371247242266,-0.007497263586779823,-0.1691779335774215,-0.0013004474961604284,0.1691779335774215,0.0013004474961604284,True,0.16787748608126107
1,art_painting,50,0.1,-0.036800741711462415,-0.010855360187695062,-0.019890506170585853,-0.039044906528028944,0.025945381523767352,0.0022441648165665296,0.028189546340333882,0.01915440035744309,0.01691023554087656,-0.009035145982890791,-0.1691779335774215,-0.0013004474961604284,0.1691779335774215,0.0013004474961604284,True,0.16787748608126107
1,art_painting,50,0.15,-0.04930074171146237,-0.010855360187695062,-0.03239050617058592,-0.05154490652802901,0.03844538152376731,0.0022441648165666406,0.04068954634033395,0.01915440035744309,0.01691023554087645,-0.021535145982890858,-0.1691779335774215,-0.0013004474961604284,0.1691779335774215,0.0013004474961604284,True,0.16787748608126107
1,art_painting,100,0.0,-0.012504619869208256,-0.010039863491305256,-0.011576544489030671,-0.012504619869208256,0.002464756377902999,0.0,0.002464756377902999,0.0009280753801775843,0.0009280753801775843,-0.0015366809977254148,-0.3301246895973738,0.005979233798782735,0.3301246895973738,0.0,False,0.3361039233961565
1,art_painting,100,0.02,-0.01750461986920815,-0.010039863491305256,-0.011576544489030671,-0.01750461986920815,0.0074647563779028925,0.0,0.0074647563779028925,0.005928075380177478,0.005928075380177478,-0.0015366809977254148,-0.3301246895973738,0.005979233798782735,0.3301246895973738,0.0,False,0.3361039233961565
1,art_painting,100,0.05,-0.025126088066146024,-0.0022729860588065476,-0.009898309899371238,-0.025130095953668663,0.022853102007339476,4.007887522639031e-06,0.022857109894862115,0.015231786054297425,0.015227778166774786,-0.007625323840564691,-0.3301246895973738,0.005979233798782735,0.3301246895973738,0.0,False,0.3361039233961565
1,art_painting,100,0.1,-0.039326317145570444,0.0039379339131639934,-0.005952196954441158,-0.04244556703153202,0.04326425105873444,0.0031192498859615725,0.04638350094469601,0.03649337007709086,0.033374120191129286,-0.009890130867605151,-0.3301246895973738,0.005979233798782735,0.3301246895973738,0.0,False,0.3361039233961565
1,art_painting,100,0.15,-0.05182631714557051,0.0039379339131639934,-0.005952196954441158,-0.05494556703153197,0.055764251058734504,0.0031192498859614615,0.058883500944695966,0.048993370077090814,0.04587412019112935,-0.009890130867605151,-0.3301246895973738,0.005979233798782735,0.3301246895973738,0.0,False,0.3361039233961565
1,cartoon,25,0.0,-0.004948112168263852,-0.005542915769412793,-0.008707836400424496,-0.008253067118943136,-0.000594803601148941,0.003304954950679284,0.002710151349530343,-0.00045476928148135976,-0.003759724232160644,-0.003164920631011703,-0.12452353076579492,-0.002379214404595986,0.12452353076579492,0.002379214404595986,True,0.12214431636119893
1,cartoon,25,0.02,-0.004948112168263852,-0.005542915769412793,-0.008707836400424496,-0.008253067118943136,-0.000594803601148941,0.003304954950679284,0.002710151349530343,-0.00045476928148135976,-0.003759724232160644,-0.003164920631011703,-0.12452353076579492,-0.002379214404595986,0.12452353076579492,0.002379214404595986,True,0.12214431636119893
1,cartoon,25,0.05,-0.008758122918630318,-0.005466791334978849,-0.007356201761908987,-0.012063077869309602,0.003291331583651469,0.003304954950679284,0.006596286534330753,0.004706876107400615,0.0014019211567213308,-0.0018894104269301382,-0.12452353076579492,-0.002379214404595986,0.12452353076579492,0.002379214404595986,True,0.12214431636119893
1,cartoon,25,0.1,-0.03360125073159903,-0.005884629823516896,-0.02163052806774446,-0.03931620352145315,0.027716620908082135,0.005714952789854122,0.03343157369793626,0.017685675453708694,0.011970722663854572,-0.015745898244227563,-0.12452353076579492,-0.002379214404595986,0.12452353076579492,0.002379214404595986,True,0.12214431636119893
1,cartoon,25,0.15,-0.03642070891381677,-0.005884629823516896,-0.03225205731147307,-0.04330362304723323,0.030536079090299872,0.006882914133416462,0.037418993223716335,0.01105156573576016,0.004168651602343698,-0.026367427487956174,-0.12452353076579492,-0.002379214404595986,0.12452353076579492,0.002379214404595986,True,0.12214431636119893
1,cartoon,50,0.0,-0.012350731920366176,-0.0049228774927790875,-0.012504619869208256,-0.005455711478179914,0.007427854427587088,-0.0068950204421862615,0.0005328339854008268,-0.007048908391028341,-0.00015388794884207968,-0.007581742376429168,-0.3503177075424936,0.029711417710348464,0.3503177075424936,0.0,False,0.38002912525284205
1,cartoon,50,0.02,-0.012350731920366176,-0.0030611833841438507,-0.015373178713591007,-0.005455711478179914,0.009289548536222325,-0.0068950204421862615,0.0023945280940360636,-0.009917467235411093,-0.003022446793224831,-0.012311995329447156,-0.3503177075424936,0.029711417710348464,0.3503177075424936,0.0,False,0.38002912525284205
1,cartoon,50,0.05,-0.016160742670732753,0.0006288058654896345,-0.011683189463957522,-0.00926572222854638,0.016789548536222387,-0.0068950204421863726,0.009894528094036015,-0.0024174672354111415,0.004477553206775231,-0.012311995329447156,-0.3503177075424936,0.029711417710348464,0.3503177075424936,0.0,False,0.38002912525284205
1,cartoon,50,0.1,-0.04744982269876208,-0.006925241058468368,-0.02588733927861986,-0.04055480225657582,0.04052458164029371,-0.0068950204421862615,0.03362956119810745,0.014667462977955958,0.02156248342014222,-0.01896209822015149,-0.3503177075424936,0.029711417710348464,0.3503177075424936,0.0,False,0.38002912525284205
1,cartoon,50,0.15,-0.07429502514185116,-0.007236520832499704,-0.038387339278619925,-0.062014097293041415,0.06705850430935145,-0.012280927848809742,0.05477757646054171,0.02362675801442149,0.03590768586323123,-0.03115081844612022,-0.3503177075424936,0.029711417710348464,0.3503177075424936,0.0,False,0.38002912525284205
1,cartoon,100,0.0,-0.012504619869208256,-0.012504619869208256,-0.012504619869208256,-0.012504619869208256,0.0,0.0,0.0,0.0,0.0,0.0,-0.4217305717604996,0.020321807461491592,0.4217305717604996,0.0,False,0.4420523792219912
1,cartoon,100,0.02,-0.01750461986920815,-0.013240210602023073,-0.01750461986920815,-0.01750461986920815,0.004264409267185076,0.0,0.004264409267185076,0.0,0.0,-0.004264409267185076,-0.4217305717604996,0.020321807461491592,0.4217305717604996,0.0,False,0.4420523792219912
