seed,domain,N,method,DeltaS_local,DeltaS_cross,I,evaluation_split,test_used,S_F0_photo,S_photo,DeltaS_photo,S_F0_art_painting,S_art_painting,DeltaS_art_painting,S_F0_cartoon,S_cartoon,DeltaS_cartoon,S_F0_sketch,S_sketch,DeltaS_sketch
0,sketch,25,REP,-0.03624006083210074,-0.05054947218284145,0.05054947218284145,validation,False,0.9086389345010035,0.8834675632705189,-0.02517137123048463,0.7929104032291104,0.7717205237685543,-0.02118987946055617,0.8157554711821414,0.8115672496903408,-0.004188221491800648,0.7573850493834721,0.7211449885513713,-0.03624006083210074
0,sketch,25,REP2,-0.0658220835613279,-0.09254838692304668,0.09254838692304668,validation,False,0.9086389345010035,0.8739331599652591,-0.034705774535744416,0.7929104032291104,0.7323184471484325,-0.06059195608067791,0.8157554711821414,0.8185048148755171,0.00274934369337565,0.7573850493834721,0.6915629658221442,-0.0658220835613279
0,photo,50,STD,0.016130713810675656,-0.4096190420571204,0.4096190420571204,validation,False,0.9086389345010035,0.9247696483116792,0.016130713810675656,0.7929104032291104,0.727412525628214,-0.06549787760089643,0.8157554711821414,0.6672980299742001,-0.14845744120794135,0.7573850493834721,0.5617213261351894,-0.19566372324828263
0,photo,50,O50,0.026347827476065122,-0.36606543443178463,0.36606543443178463,validation,False,0.9086389345010035,0.9349867619770686,0.026347827476065122,0.7929104032291104,0.7283971299962771,-0.06451327323283329,0.8157554711821414,0.6582699479954602,-0.1574855231866812,0.7573850493834721,0.6133184113712019,-0.14406663801227015
0,photo,50,REP,0.005419854259835155,-0.11375618172793911,0.11375618172793911,validation,False,0.9086389345010035,0.9140587887608387,0.005419854259835155,0.7929104032291104,0.7817321377359532,-0.011178265493157258,0.8157554711821414,0.7643854782141215,-0.05136999296801992,0.7573850493834721,0.7061771261167101,-0.051207923266761934
0,photo,50,REP2,0.005561735261401468,-0.11188497519898899,0.11188497519898899,validation,False,0.9086389345010035,0.914200669762405,0.005561735261401468,0.7929104032291104,0.7683546107628701,-0.02455579246624029,0.8157554711821414,0.7611400009041501,-0.054615470277991296,0.7573850493834721,0.7246713369287147,-0.032713712454757404
0,art_painting,50,STD,0.001143494842294035,-0.2564017717690211,0.2564017717690211,validation,False,0.9086389345010035,0.904726381962994,-0.003912552538009484,0.7929104032291104,0.7940538980714045,0.001143494842294035,0.8157554711821414,0.709226643455558,-0.10652882772658345,0.7573850493834721,0.6114246578790439,-0.1459603915044282
0,art_painting,50,O50,0.009187414164408825,-0.24785504566925853,0.24785504566925853,validation,False,0.9086389345010035,0.9096524903373783,0.0010135558363747466,0.7929104032291104,0.8020978173935193,0.009187414164408825,0.8157554711821414,0.7163317917110258,-0.09942367947111563,0.7573850493834721,0.6079401273489544,-0.14944492203451765
0,art_painting,50,REP,-0.018162944675120474,-0.2051113905731976,0.2051113905731976,validation,False,0.9086389345010035,0.9041725205716943,-0.004466413929309243,0.7929104032291104,0.77474745855399,-0.018162944675120474,0.8157554711821414,0.7519395926510264,-0.06381587853111503,0.7573850493834721,0.6205559512706987,-0.13682909811277333
0,art_painting,50,REP2,-0.06147582887567171,-0.2816417158938457,0.2816417158938457,validation,False,0.9086389345010035,0.8900899378414078,-0.01854899665959575,0.7929104032291104,0.7314345743534387,-0.06147582887567171,0.8157554711821414,0.7574059947851005,-0.05834947639704091,0.7573850493834721,0.552641806546263,-0.20474324283720902
