scope,grouping,label_mode,budget,i,j,n,mean_gamma,std_gamma,median_gamma,min_gamma,max_gamma,fraction_positive,fraction_negative,bootstrap95_low,bootstrap95_high
pair,random,pseudo,20,1,4,10,0.0004985615867969418,0.004361191707343029,0.0013888888888889395,-0.008421656951068668,0.005634920634920437,0.5,0.4,-0.002051295518207205,0.0030321479042067943
pair,random,pseudo,20,2,3,10,-0.0011437529966941474,0.004601192498558863,-0.0013513513513513375,-0.011278799808211781,0.005480480480480554,0.4,0.5,-0.0039630050218286035,0.0013429858429859231
pair,random,pseudo,20,2,4,10,-0.0011433239962651554,0.004437563448909524,-3.968253968261726e-05,-0.011353874883286652,0.005480480480480554,0.2,0.5,-0.003962752984076538,0.0013506917631917758
pair,random,pseudo,20,3,4,10,-0.0002473187473187255,0.00420339720345356,5.551115123125783e-17,-0.005480480480480665,0.008337623337623334,0.5,0.4,-0.002454954954954969,0.0022387012012012584
pair,random,pseudo,40,1,2,10,-0.00280337900926132,0.005256970079952937,-0.0013888888888888284,-0.011362833421656893,0.002777777777777879,0.3,0.6,-0.005924910730057771,1.3116688116680742e-05
pair,random,pseudo,40,1,3,10,-0.0013187094657682642,0.004151037278845469,-0.002658540893834993,-0.008258258258258322,0.0055598455598456775,0.4,0.6,-0.0037794395235571723,0.0011591970121382358
pair,random,pseudo,40,1,4,10,-0.002224442930325221,0.004061135125720128,-0.0027402402402402215,-0.008333333333333193,0.005555555555555647,0.1,0.8,-0.004657448204506999,0.000269396812779245
pair,random,pseudo,40,2,3,10,-0.0016591591591591293,0.004405188915222032,0.0,-0.008571807101218853,0.0055598455598454555,0.3,0.4,-0.004160017160017116,0.0008576097105508995
pair,random,pseudo,40,2,4,10,0.0011512983571807633,0.004324028845646665,5.551115123125783e-17,-0.005321371791960017,0.008412698412698427,0.5,0.2,-0.0013009535796299752,0.0038912701567114204
pair,random,pseudo,40,3,4,10,5.426855426862165e-05,0.004120071417699474,0.0,-0.005392156862744968,0.008337623337623445,0.4,0.4,-0.0019457399626516651,0.002600281058369369
pair,random,true,5,1,2,10,0.0002936507936507904,0.0009010645701260046,0.0,0.0,0.0028571428571427804,0.2,0.0,0.0,0.0008650793650793465
pair,random,true,5,1,3,10,0.0005555555555555424,0.0011712139482104834,0.0,0.0,0.002777777777777768,0.2,0.0,0.0,0.0013888888888888506
pair,random,true,5,1,4,10,0.00028571428571428915,0.0009035079029052229,0.0,0.0,0.0028571428571427804,0.2,0.0,0.0,0.0008571428571428452
pair,random,true,5,2,3,10,-0.0010960960960960998,0.002638734331991518,0.0,-0.008183183183183118,0.0,0.0,0.2,-0.0027327327327327233,0.0
pair,random,true,5,2,4,10,3.2679738562091384e-05,0.0026968210504284555,0.0,-0.005555555555555536,0.00588235294117645,0.1,0.1,-0.0016666666666666607,0.001764705882352935
pair,random,true,5,3,4,10,-0.0002777777777777879,0.0008784104611579152,0.0,-0.002777777777777879,0.0,0.0,0.1,-0.0008333333333333636,0.0
pair,random,true,10,1,2,10,-0.0008187473187472816,0.0031975508356435066,0.0,-0.00826254826254802,0.002777777777777879,0.2,0.3,-0.002749034749034651,0.0008333333333333636
pair,random,true,10,1,3,10,-0.0008262548262547908,0.0026390804823166218,0.0,-0.00563492063492077,0.002777777777777879,0.2,0.4,-0.0022387119262119513,0.0005705705705705725
pair,random,true,10,1,4,10,1.6339869281034593e-05,0.0018795979849723537,0.0,-0.002777777777777879,0.002941176470588225,0.2,0.3,-0.0011111111111111293,0.0011437908496732207
pair,random,true,10,2,3,10,-0.001111969111969091,0.0035216222229354902,-0.0013513513513513375,-0.005634920634920548,0.005555555555555314,0.2,0.5,-0.0030652080652079808,0.0011027456027455475
pair,random,true,10,2,4,10,8.83236177352531e-06,0.002302485859574562,0.0,-0.0028571428571427804,0.002941176470588225,0.3,0.3,-0.001389075630252095,0.0014065274307920631
pair,random,true,10,3,4,10,-0.00026233376233374405,0.002455776526873513,0.0,-0.002932217932217873,0.005634920634920548,0.2,0.3,-0.0016445731445730923,0.0013974528099528
pair,random,true,20,1,2,10,-0.0011119691119691132,0.003968846434168062,-0.0013513513513515596,-0.005634920634920659,0.008337623337623556,0.1,0.6,-0.0030964821964822643,0.0013972651222651242
pair,random,true,20,1,3,10,-0.000518018018017996,0.0033821385892766026,-0.001351351351351282,-0.005484770484770363,0.005555555555555647,0.3,0.5,-0.0024491634491634055,0.0016520377520377624
pair,random,true,20,1,4,10,-0.0010735735735735608,0.004392217262796946,-0.0012321144674086182,-0.011119691119691022,0.0028571428571431134,0.4,0.5,-0.003869128056628019,0.0012406976304034376
pair,random,true,20,2,3,10,-0.0005705327175915432,0.0017815729982222433,0.0,-0.0028571428571430024,0.002702702702702564,0.3,0.4,-0.0016979458450046448,0.0005405405405405353
pair,random,true,20,2,4,10,7.078507078517316e-06,0.0026298848055103068,0.0,-0.0028571428571427804,0.00563492063492077,0.2,0.4,-0.0013901758901758822,0.0016979836979837514
pair,random,true,20,3,4,10,-0.000540540540540535,0.0025019518913780296,0.0,-0.00540540540540535,0.002777777777777768,0.2,0.4,-0.00190690690690688,0.0008258258258258211
pair,random,true,40,1,2,10,-0.0005723244252655357,0.005215350068393991,1.6653345369377348e-16,-0.00849673202614376,0.00818318318318334,0.5,0.5,-0.003440403323491521,0.002453663222045659
pair,random,true,40,1,3,10,0.0008324374794963397,0.006519459165991462,0.0,-0.01104928457869625,0.01104032604032612,0.4,0.3,-0.003315214374037834,0.004685971685971724
pair,random,true,40,1,4,10,0.001683006535947773,0.0022819760159673804,0.00023847376788560526,0.0,0.005555555555555647,0.6,0.0,0.0005385728165140657,0.0030728020036843956
pair,random,true,40,2,3,10,-0.0016534433593256791,0.005024786946830259,-0.0012696520049461646,-0.011362833421656893,0.0055598455598455665,0.4,0.5,-0.004773457806546003,0.0011737675700910812
pair,random,true,40,2,4,10,-0.0005184848714259837,0.005051643477076048,0.0,-0.010965250965250695,0.008567138567138644,0.4,0.4,-0.003592096297978587,0.002315480606657174
pair,random,true,40,3,4,10,-0.0007870012870012433,0.005100998243897499,0.0,-0.011036036036035868,0.00563492063492077,0.4,0.4,-0.004097324740706982,0.001975317018699388
global_primary,competence,pseudo,5,all,all,60,0.0003240677652442292,0.0018422926296935648,0.0,-0.0056438791732909,0.005634920634920659,0.21666666666666667,0.06666666666666667,-0.0001489200860524375,0.0007822796010295798
global_primary,competence,pseudo,10,all,all,60,-0.0003884830208359872,0.002334475090374243,0.0,-0.008183183183183229,0.005634920634920437,0.21666666666666667,0.3,-0.0009868773184949795,0.00017280710332178196
