seed,grouping,label_mode,budget,intervention,source_groups,actual_examples,validation_balanced_accuracy,test_balanced_accuracy
0,random,pseudo,10,4,[4],10,0.9443296237413884,0.9585456885456886
0,random,pseudo,10,1+2,"[1,2]",20,0.9415518459636107,0.9585456885456886
0,random,pseudo,10,1+3,"[1,3]",20,0.9443296237413884,0.9584706134706135
0,random,pseudo,10,1+4,"[1,4]",20,0.9443296237413884,0.9585456885456886
0,random,pseudo,10,2+3,"[2,3]",20,0.9471074015191661,0.9584706134706135
0,random,pseudo,10,2+4,"[2,4]",20,0.9415518459636107,0.9585456885456886
0,random,pseudo,10,3+4,"[3,4]",20,0.9443296237413884,0.9584706134706135
0,random,pseudo,20,0,[],0,0.9443296237413884,0.9585456885456886
0,random,pseudo,20,1,[1],20,0.9471074015191663,0.9585456885456886
0,random,pseudo,20,2,[2],20,0.9415518459636107,0.9557679107679107
0,random,pseudo,20,3,[3],20,0.9444046988164635,0.963951093951094
0,random,pseudo,20,4,[4],20,0.9443296237413884,0.9585456885456886
0,random,pseudo,20,1+2,"[1,2]",40,0.9415518459636107,0.9557679107679107
0,random,pseudo,20,1+3,"[1,3]",40,0.9498851792969439,0.9612483912483911
0,random,pseudo,20,1+4,"[1,4]",40,0.9443296237413884,0.9613234663234664
0,random,pseudo,20,2+3,"[2,3]",40,0.9444046988164635,0.9584706134706135
0,random,pseudo,20,2+4,"[2,4]",40,0.9443296237413884,0.9557679107679107
0,random,pseudo,20,3+4,"[3,4]",40,0.9444046988164635,0.9612483912483911
0,random,pseudo,40,0,[],0,0.9443296237413884,0.9585456885456886
0,random,pseudo,40,1,[1],40,0.9413884472708002,0.964026169026169
0,random,pseudo,40,2,[2],37,0.9413884472708002,0.9557679107679107
0,random,pseudo,40,3,[3],40,0.9328917152446564,0.9610939510939511
0,random,pseudo,40,4,[4],36,0.9415518459636107,0.9585456885456886
0,random,pseudo,40,1+2,"[1,2]",77,0.9358328917152446,0.9585456885456886
0,random,pseudo,40,1+3,"[1,3]",80,0.9273361596891009,0.9583161733161732
0,random,pseudo,40,1+4,"[1,4]",76,0.9441662250485781,0.9613234663234664
0,random,pseudo,40,2+3,"[2,3]",77,0.9356694930224343,0.9528356928356928
0,random,pseudo,40,2+4,"[2,4]",73,0.9413884472708002,0.9557679107679107
0,random,pseudo,40,3+4,"[3,4]",76,0.9271727609962903,0.9610939510939511
0,random,true,5,0,[],0,0.9443296237413884,0.9585456885456886
0,random,true,5,1,[1],5,0.9443296237413884,0.9585456885456886
0,random,true,5,2,[2],5,0.9415518459636107,0.9585456885456886
0,random,true,5,3,[3],5,0.9471074015191663,0.9612483912483911
0,random,true,5,4,[4],5,0.9443296237413884,0.9585456885456886
0,random,true,5,1+2,"[1,2]",10,0.9415518459636107,0.9585456885456886
0,random,true,5,1+3,"[1,3]",10,0.9471074015191663,0.9612483912483911
0,random,true,5,1+4,"[1,4]",10,0.9443296237413884,0.9585456885456886
0,random,true,5,2+3,"[2,3]",10,0.9471074015191663,0.9612483912483911
0,random,true,5,2+4,"[2,4]",10,0.9415518459636107,0.9585456885456886
0,random,true,5,3+4,"[3,4]",10,0.9471074015191663,0.9612483912483911
0,random,true,10,0,[],0,0.9443296237413884,0.9585456885456886
0,random,true,10,1,[1],10,0.9443296237413884,0.9585456885456886
0,random,true,10,2,[2],10,0.9415518459636107,0.9585456885456886
0,random,true,10,3,[3],10,0.9413884472708002,0.9585456885456886
0,random,true,10,4,[4],10,0.9443296237413884,0.9585456885456886
0,random,true,10,1+2,"[1,2]",20,0.9415518459636107,0.9585456885456886
0,random,true,10,1+3,"[1,3]",20,0.9386106694930225,0.9585456885456886
0,random,true,10,1+4,"[1,4]",20,0.9443296237413884,0.9585456885456886
0,random,true,10,2+3,"[2,3]",20,0.9413884472708002,0.9585456885456886
0,random,true,10,2+4,"[2,4]",20,0.9415518459636107,0.9585456885456886
0,random,true,10,3+4,"[3,4]",20,0.9413884472708002,0.9585456885456886
0,random,true,20,0,[],0,0.9443296237413884,0.9585456885456886
0,random,true,20,1,[1],20,0.9471074015191663,0.9585456885456886
0,random,true,20,2,[2],20,0.944493022434199,0.963951093951094
0,random,true,20,3,[3],20,0.9444046988164635,0.9585456885456886
0,random,true,20,4,[4],20,0.9443296237413884,0.9585456885456886
0,random,true,20,1+2,"[1,2]",40,0.9417903197314963,0.9611733161733161
0,random,true,20,1+3,"[1,3]",40,0.9526629570747216,0.9585456885456886
0,random,true,20,1+4,"[1,4]",40,0.9443296237413884,0.9613234663234664
0,random,true,20,2+3,"[2,3]",40,0.9444046988164635,0.9666537966537966
0,random,true,20,2+4,"[2,4]",40,0.9472708002119768,0.963951093951094
0,random,true,20,3+4,"[3,4]",40,0.9471824765942414,0.9585456885456886
0,random,true,40,0,[],0,0.9443296237413884,0.9585456885456886
0,random,true,40,1,[1],40,0.9472708002119766,0.9585456885456886
0,random,true,40,2,[2],37,0.9443296237413886,0.9638760188760189
0,random,true,40,3,[3],40,0.9471074015191661,0.9501329901329901
0,random,true,40,4,[4],36,0.9415518459636107,0.9585456885456886
0,random,true,40,1+2,"[1,2]",77,0.9415518459636107,0.9611733161733161
0,random,true,40,1+3,"[1,3]",80,0.9470323264440912,0.9584706134706135
0,random,true,40,1+4,"[1,4]",76,0.9472708002119766,0.9585456885456886
0,random,true,40,2+3,"[2,3]",77,0.9386989931107579,0.9583955383955383
0,random,true,40,2+4,"[2,4]",73,0.9443296237413886,0.9611733161733161
0,random,true,40,3+4,"[3,4]",76,0.9442545486663134,0.9557679107679107
1,competence,pseudo,5,0,[],0,0.9469626769626769,0.9466304539833951
1,competence,pseudo,5,1,[1],5,0.9469626769626769,0.952274333156686
1,competence,pseudo,5,2,[2],5,0.9469626769626769,0.9466304539833951
1,competence,pseudo,5,3,[3],5,0.9469626769626769,0.9464670552905845
1,competence,pseudo,5,4,[4],5,0.9469626769626769,0.9466304539833951
1,competence,pseudo,5,1+2,"[1,2]",10,0.9469626769626769,0.952274333156686
1,competence,pseudo,5,1+3,"[1,3]",10,0.9469626769626769,0.9464670552905845
1,competence,pseudo,5,1+4,"[1,4]",10,0.9469626769626769,0.952274333156686
1,competence,pseudo,5,2+3,"[2,3]",10,0.9469626769626769,0.9464670552905845
1,competence,pseudo,5,2+4,"[2,4]",10,0.9469626769626769,0.9466304539833951
1,competence,pseudo,5,3+4,"[3,4]",10,0.9469626769626769,0.9464670552905845
1,competence,pseudo,10,0,[],0,0.9469626769626769,0.9466304539833951
1,competence,pseudo,10,1,[1],10,0.9525975975975974,0.952274333156686
1,competence,pseudo,10,2,[2],10,0.9469626769626769,0.9466304539833951
1,competence,pseudo,10,3,[3],10,0.9469626769626769,0.9464670552905845
1,competence,pseudo,10,4,[4],10,0.9469626769626769,0.9466304539833951
1,competence,pseudo,10,1+2,"[1,2]",20,0.9525975975975974,0.952274333156686
1,competence,pseudo,10,1+3,"[1,3]",20,0.9471171171171171,0.9491697579932874
1,competence,pseudo,10,1+4,"[1,4]",20,0.9525975975975974,0.952274333156686
1,competence,pseudo,10,2+3,"[2,3]",20,0.9469626769626769,0.9464670552905845
1,competence,pseudo,10,2+4,"[2,4]",20,0.9469626769626769,0.9438526762056172
1,competence,pseudo,10,3+4,"[3,4]",20,0.9469626769626769,0.9464670552905845
1,competence,pseudo,20,0,[],0,0.9469626769626769,0.9466304539833951
1,competence,pseudo,20,1,[1],20,0.9498198198198198,0.9497350291467939
1,competence,pseudo,20,2,[2],20,0.9469626769626769,0.9466304539833951
1,competence,pseudo,20,3,[3],20,0.9469626769626769,0.9464670552905845
1,competence,pseudo,20,4,[4],20,0.9469626769626769,0.9438526762056172
1,competence,pseudo,20,1+2,"[1,2]",40,0.9498198198198198,0.9497350291467939
1,competence,pseudo,20,1+3,"[1,3]",40,0.9469626769626769,0.9438526762056174
1,competence,pseudo,20,1+4,"[1,4]",40,0.9498198198198198,0.946957251369016
1,competence,pseudo,20,2+3,"[2,3]",40,0.9498198198198198,0.9464670552905845
1,competence,pseudo,20,2+4,"[2,4]",40,0.9469626769626769,0.9438526762056172
1,competence,pseudo,20,3+4,"[3,4]",40,0.9441848991848991,0.9436892775128068
1,competence,pseudo,40,0,[],0,0.9469626769626769,0.9466304539833951
1,competence,pseudo,40,1,[1],40,0.9498198198198198,0.9494082317611727
1,competence,pseudo,40,2,[2],36,0.9498198198198198,0.9493331566860977
1,competence,pseudo,40,3,[3],37,0.9498198198198198,0.9464670552905845
1,competence,pseudo,40,4,[4],36,0.94981981981982,0.9495716304539833
1,competence,pseudo,40,1+2,"[1,2]",76,0.9498198198198198,0.9491697579932874
1,competence,pseudo,40,1+3,"[1,3]",77,0.9441848991848991,0.9407481010422186
1,competence,pseudo,40,1+4,"[1,4]",76,0.9526769626769628,0.9494082317611727
1,competence,pseudo,40,2+3,"[2,3]",73,0.9555341055341057,0.9491697579932874
1,competence,pseudo,40,2+4,"[2,4]",72,0.94981981981982,0.9493331566860977
1,competence,pseudo,40,3+4,"[3,4]",73,0.9498991848991849,0.9464670552905845
1,competence,true,5,0,[],0,0.9469626769626769,0.9466304539833951
1,competence,true,5,1,[1],5,0.9469626769626769,0.952274333156686
1,competence,true,5,2,[2],5,0.9469626769626769,0.9466304539833951
1,competence,true,5,3,[3],5,0.9525975975975974,0.9466304539833951
1,competence,true,5,4,[4],5,0.9469626769626769,0.9466304539833951
1,competence,true,5,1+2,"[1,2]",10,0.9469626769626769,0.952274333156686
1,competence,true,5,1+3,"[1,3]",10,0.9525975975975974,0.9494082317611727
1,competence,true,5,1+4,"[1,4]",10,0.9469626769626769,0.952274333156686
1,competence,true,5,2+3,"[2,3]",10,0.9525975975975974,0.9466304539833951
1,competence,true,5,2+4,"[2,4]",10,0.9469626769626769,0.9466304539833951
1,competence,true,5,3+4,"[3,4]",10,0.9525975975975974,0.9494082317611727
1,competence,true,10,0,[],0,0.9469626769626769,0.9466304539833951
1,competence,true,10,1,[1],10,0.9497404547404548,0.9493331566860977
1,competence,true,10,2,[2],10,0.9469626769626769,0.9466304539833951
1,competence,true,10,3,[3],10,0.9525975975975974,0.9466304539833951
1,competence,true,10,4,[4],10,0.9469626769626769,0.9466304539833951
1,competence,true,10,1+2,"[1,2]",20,0.9497404547404548,0.952274333156686
1,competence,true,10,1+3,"[1,3]",20,0.9525975975975974,0.9466304539833951
1,competence,true,10,1+4,"[1,4]",20,0.9497404547404548,0.952274333156686
1,competence,true,10,2+3,"[2,3]",20,0.9525975975975974,0.9466304539833951
1,competence,true,10,2+4,"[2,4]",20,0.9469626769626769,0.9466304539833951
1,competence,true,10,3+4,"[3,4]",20,0.9525975975975974,0.9466304539833951
1,competence,true,20,0,[],0,0.9469626769626769,0.9466304539833951
1,competence,true,20,1,[1],20,0.9470420420420419,0.9467938526762056
1,competence,true,20,2,[2],20,0.9469626769626769,0.9466304539833951
1,competence,true,20,3,[3],20,0.9525975975975974,0.9466304539833951
1,competence,true,20,4,[4],20,0.9469626769626769,0.9466304539833951
1,competence,true,20,1+2,"[1,2]",40,0.9526769626769627,0.9467938526762056
1,competence,true,20,1+3,"[1,3]",40,0.9470420420420419,0.9497350291467939
1,competence,true,20,1+4,"[1,4]",40,0.9498991848991849,0.9497350291467939
1,competence,true,20,2+3,"[2,3]",40,0.9554547404547403,0.9466304539833951
1,competence,true,20,2+4,"[2,4]",40,0.9526769626769628,0.9466304539833951
1,competence,true,20,3+4,"[3,4]",40,0.9525975975975974,0.9466304539833951
1,competence,true,40,0,[],0,0.9469626769626769,0.9466304539833951
1,competence,true,40,1,[1],40,0.9469626769626769,0.952274333156686
1,competence,true,40,2,[2],36,0.94981981981982,0.9466304539833951
