seed,grouping,label_mode,budget,intervention,competence,score,delta
0,random,true,40,3,2,0.9722222222222222,0.0
0,random,true,40,3,3,0.9386261261261262,-0.00694444444444442
0,random,true,40,3,4,0.9722222222222222,0.0
0,random,true,40,4,1,0.9646825396825397,0.0
0,random,true,40,4,2,0.9722222222222222,0.0
0,random,true,40,4,3,0.9455705705705706,0.0
0,random,true,40,4,4,0.9722222222222222,0.0
1,competence,pseudo,5,1,1,0.9514472455648927,0.008062684533272746
1,competence,pseudo,5,1,2,0.9444444444444444,0.0
1,competence,pseudo,5,1,3,0.9459459459459459,0.0
1,competence,pseudo,5,1,4,0.9722222222222222,0.0
1,competence,pseudo,5,2,1,0.9433845610316199,0.0
1,competence,pseudo,5,2,2,0.9444444444444444,0.0
1,competence,pseudo,5,2,3,0.9459459459459459,0.0
1,competence,pseudo,5,2,4,0.9722222222222222,0.0
1,competence,pseudo,5,3,1,0.943151134327605,-0.00023342670401493848
1,competence,pseudo,5,3,2,0.9444444444444444,0.0
1,competence,pseudo,5,3,3,0.9459459459459459,0.0
1,competence,pseudo,5,3,4,0.9722222222222222,0.0
1,competence,pseudo,5,4,1,0.9433845610316199,0.0
1,competence,pseudo,5,4,2,0.9444444444444444,0.0
1,competence,pseudo,5,4,3,0.9459459459459459,0.0
1,competence,pseudo,5,4,4,0.9722222222222222,0.0
1,competence,pseudo,10,1,1,0.9514472455648927,0.008062684533272746
1,competence,pseudo,10,1,2,0.9444444444444444,0.0
1,competence,pseudo,10,1,3,0.9459459459459459,0.0
1,competence,pseudo,10,1,4,0.9722222222222222,0.0
1,competence,pseudo,10,2,1,0.9433845610316199,0.0
1,competence,pseudo,10,2,2,0.9444444444444444,0.0
1,competence,pseudo,10,2,3,0.9459459459459459,0.0
1,competence,pseudo,10,2,4,0.9722222222222222,0.0
1,competence,pseudo,10,3,1,0.943151134327605,-0.00023342670401493848
1,competence,pseudo,10,3,2,0.9444444444444444,0.0
1,competence,pseudo,10,3,3,0.9459459459459459,0.0
1,competence,pseudo,10,3,4,0.9722222222222222,0.0
1,competence,pseudo,10,4,1,0.9433845610316199,0.0
1,competence,pseudo,10,4,2,0.9444444444444444,0.0
1,competence,pseudo,10,4,3,0.9459459459459459,0.0
1,competence,pseudo,10,4,4,0.9722222222222222,0.0
1,competence,pseudo,20,1,1,0.9478196684079039,0.004435107376283942
1,competence,pseudo,20,1,2,0.9444444444444444,0.0
1,competence,pseudo,20,1,3,0.9459459459459459,0.0
1,competence,pseudo,20,1,4,0.9722222222222222,0.0
1,competence,pseudo,20,2,1,0.9433845610316199,0.0
1,competence,pseudo,20,2,2,0.9444444444444444,0.0
1,competence,pseudo,20,2,3,0.9459459459459459,0.0
1,competence,pseudo,20,2,4,0.9722222222222222,0.0
1,competence,pseudo,20,3,1,0.943151134327605,-0.00023342670401493848
1,competence,pseudo,20,3,2,0.9444444444444444,0.0
1,competence,pseudo,20,3,3,0.9459459459459459,0.0
1,competence,pseudo,20,3,4,0.9722222222222222,0.0
1,competence,pseudo,20,4,1,0.9433845610316199,0.0
1,competence,pseudo,20,4,2,0.9444444444444444,0.0
1,competence,pseudo,20,4,3,0.9459459459459459,0.0
1,competence,pseudo,20,4,4,0.9444444444444444,-0.02777777777777779
1,competence,pseudo,40,1,1,0.9473528149998739,0.003968253968253954
1,competence,pseudo,40,1,2,0.9444444444444444,0.0
