seed,class,profile_0,profile_1,profile_2,profile_3,profile_4,profile_5,profile_6,profile_7,profile_8,profile_9
4,1,0.0,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.027777777777777776
4,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3,0.0,0.0,0.05555555555555555,0.9166666666666666,0.0,0.0,0.0,0.0,0.027777777777777776,0.0
4,4,0.0,0.0,0.0,0.0,0.9722222222222222,0.0,0.0,0.0,0.0,0.027777777777777776
4,5,0.0,0.0,0.0,0.0,0.0,0.972972972972973,0.0,0.0,0.0,0.02702702702702703
4,6,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.9459459459459459,0.0,0.0,0.0
4,7,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.9722222222222222,0.0,0.0
4,8,0.0,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.9142857142857143,0.0
4,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.9722222222222222
5,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,0.0,0.0,0.027777777777777776,0.9166666666666666,0.0,0.0,0.0,0.0,0.05555555555555555,0.0
5,4,0.0,0.027777777777777776,0.0,0.0,0.9722222222222222,0.0,0.0,0.0,0.0,0.0
5,5,0.0,0.0,0.0,0.02702702702702703,0.0,0.918918918918919,0.02702702702702703,0.0,0.0,0.02702702702702703
5,6,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.972972972972973,0.0,0.0,0.0
5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.08333333333333333
5,8,0.0,0.11764705882352941,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.8529411764705882,0.0
5,9,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.9722222222222222
6,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,0.0,0.8611111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.1111111111111111
6,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.05555555555555555,0.027777777777777776,0.0
6,4,0.0,0.05555555555555555,0.0,0.0,0.9444444444444444,0.0,0.0,0.0,0.0,0.0
6,5,0.0,0.0,0.0,0.0,0.0,0.9722222222222222,0.027777777777777776,0.0,0.0,0.0
6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.972972972972973,0.0,0.02702702702702703,0.0
6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,8,0.0,0.0,0.0,0.02857142857142857,0.0,0.02857142857142857,0.0,0.0,0.9142857142857143,0.02857142857142857
6,9,0.0,0.05555555555555555,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.9166666666666666
7,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2,0.0,0.027777777777777776,0.9722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3,0.0,0.0,0.0,0.972972972972973,0.0,0.02702702702702703,0.0,0.0,0.0,0.0
7,4,0.0,0.05555555555555555,0.0,0.0,0.9444444444444444,0.0,0.0,0.0,0.0,0.0
7,5,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.0,0.9166666666666666,0.0,0.0,0.0,0.0
7,6,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.9722222222222222,0.0,0.0,0.0
7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,8,0.0,0.02857142857142857,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.9428571428571428,0.0
7,9,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.9166666666666666
8,0,0.9714285714285714,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0
8,1,0.0,0.9722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0
8,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
