seed,domain,N,c,h,kappa,rho,DeltaV,Omega,kappa_star,kappa_star_error,sep_action,hls_action,sepomega_action,J_SEP,J_HLS,J_SEP_Omega,DeltaJ,Delta_coord,action_match,coord_error
2,cartoon,100,0.1,10,0.0,0.14517049116605762,-0.003047243511887232,0.0,-0.17564292628492995,0.0,"F,0","F,0","F,0",8.604940258861106,8.604940258861106,8.604940258861106,0.0,0.0,True,0.0
2,cartoon,100,0.1,10,1.0,0.14517049116605762,-0.003047243511887232,0.0,-0.17564292628492995,0.0,"F,0","F,0","F,0",8.604940258861106,8.604940258861106,8.604940258861106,0.0,0.0,True,0.0
2,cartoon,100,0.15,1,0.0,0.19517049116605767,-0.012194872750327379,0.0,-0.20736536391638505,0.0,"F,0","F,0","F,0",1.5958755671667828,1.5958755671667828,1.5958755671667828,0.0,0.0,True,0.0
2,cartoon,100,0.15,1,1.0,0.19517049116605767,-0.012194872750327379,0.0,-0.20736536391638505,0.0,"F,0","F,0","F,0",1.5958755671667828,1.5958755671667828,1.5958755671667828,0.0,0.0,True,0.0
2,cartoon,100,0.15,2,0.0,0.19517049116605767,-0.012194872750327379,0.0,-0.21956023666671243,0.0,"F,0","F,0","F,0",2.3709356765088634,2.3709356765088634,2.3709356765088634,0.0,0.0,True,0.0
2,cartoon,100,0.15,2,1.0,0.19517049116605767,-0.012194872750327379,0.0,-0.21956023666671243,0.0,"F,0","F,0","F,0",2.3709356765088634,2.3709356765088634,2.3709356765088634,0.0,0.0,True,0.0
2,cartoon,100,0.15,5,0.0,0.19517049116605767,-0.012194872750327379,0.0,-0.25614485491769456,0.0,"F,0","F,0","F,0",4.696116004535104,4.696116004535104,4.696116004535104,0.0,0.0,True,0.0
2,cartoon,100,0.15,5,1.0,0.19517049116605767,-0.012194872750327379,0.0,-0.25614485491769456,0.0,"F,0","F,0","F,0",4.696116004535104,4.696116004535104,4.696116004535104,0.0,0.0,True,0.0
2,cartoon,100,0.15,10,0.0,0.19517049116605767,-0.012194872750327379,0.0,-0.31711921866933146,0.0,"F,0","F,0","F,0",8.571416551245505,8.571416551245505,8.571416551245505,0.0,0.0,True,0.0
2,cartoon,100,0.15,10,1.0,0.19517049116605767,-0.012194872750327379,0.0,-0.31711921866933146,0.0,"F,0","F,0","F,0",8.571416551245505,8.571416551245505,8.571416551245505,0.0,0.0,True,0.0
2,sketch,25,0.0,1,0.0,-0.11340948304623966,0.001335686336830344,0.001335686336830344,0.001335686336830344,0.0,"D,REP","D,REP","D,REP",1.6013790053583028,1.6013790053583028,1.6013790053583028,0.0,0.0,True,0.0
2,sketch,25,0.0,1,0.000667843168415172,-0.11340948304623966,0.001335686336830344,0.000667843168415172,0.001335686336830344,0.0,"D,REP","D,REP","D,REP",1.6007111621898877,1.6007111621898877,1.6007111621898877,0.0,0.0,True,0.0
2,sketch,25,0.0,1,0.001335686336830344,-0.11340948304623966,0.001335686336830344,0.0,0.001335686336830344,0.0,"D,0","D,0","D,0",1.6000433190214725,1.6000433190214725,1.6000433190214725,0.0,0.0,True,0.0
2,sketch,25,0.0,1,1.0013356863368303,-0.11340948304623966,0.001335686336830344,0.0,0.001335686336830344,0.0,"D,0","D,0","D,0",1.6000433190214725,1.6000433190214725,1.6000433190214725,0.0,0.0,True,0.0
2,sketch,25,0.0,2,0.0,-0.11340948304623966,0.001335686336830344,0.002671372673660688,0.002671372673660688,0.0,"D,REP","D,REP","D,REP",2.417025209174643,2.417025209174643,2.417025209174643,0.0,0.0,True,0.0
2,sketch,25,0.0,2,0.001335686336830344,-0.11340948304623966,0.001335686336830344,0.001335686336830344,0.002671372673660688,0.0,"D,REP","D,REP","D,REP",2.415689522837813,2.415689522837813,2.415689522837813,0.0,0.0,True,0.0
2,sketch,25,0.0,2,0.002671372673660688,-0.11340948304623966,0.001335686336830344,0.0,0.002671372673660688,0.0,"D,0","D,0","D,0",2.4143538365009825,2.4143538365009825,2.4143538365009825,0.0,0.0,True,0.0
2,sketch,25,0.0,2,1.0026713726736607,-0.11340948304623966,0.001335686336830344,0.0,0.002671372673660688,0.0,"D,0","D,0","D,0",2.4143538365009825,2.4143538365009825,2.4143538365009825,0.0,0.0,True,0.0
2,sketch,25,0.0,5,0.0,-0.11340948304623966,0.001335686336830344,0.00667843168415172,0.00667843168415172,0.0,"D,REP","D,REP","D,REP",4.863963820623664,4.863963820623664,4.863963820623664,0.0,0.0,True,0.0
