domain,N,c,B,n_seeds,n_integration_changes,n_current_fast,n_noncompensating,mean_rho,std_rho,mean_DeltaV,std_DeltaV,mean_H,std_H,mean_DeltaV_local,mean_DeltaV_cross
cartoon,25,0.15,10,5,0,5,5,0.1826755958126189,0.02363064950142602,-0.016684619079108474,0.011052080573943406,-0.3495217866037037,0.11104407372036341,-0.0015233205329872712,-0.015161298546121143
cartoon,50,0.0,1,5,0,4,4,0.0326755958126189,0.023630649501426022,-0.008357171629174797,0.007614704610942087,-0.0410327674417937,0.02808367227601039,-0.003857605186880125,-0.004499566442294734
cartoon,50,0.0,2,5,0,4,4,0.0326755958126189,0.023630649501426022,-0.008357171629174797,0.007614704610942087,-0.04938993907096849,0.03368894705652387,-0.003857605186880125,-0.004499566442294734
cartoon,50,0.0,5,5,0,4,4,0.0326755958126189,0.023630649501426022,-0.008357171629174797,0.007614704610942087,-0.07446145395849288,0.05356778309145192,-0.003857605186880125,-0.004499566442294734
cartoon,50,0.0,10,5,0,4,4,0.0326755958126189,0.023630649501426022,-0.008357171629174797,0.007614704610942087,-0.11624731210436687,0.08988767151507249,-0.003857605186880125,-0.004499566442294734
cartoon,50,0.02,1,5,0,5,5,0.052675595812618915,0.023630649501426022,-0.011035521534540526,0.012088987419801845,-0.06371111734715944,0.03040110167401193,-0.004535955092245797,-0.006499566442294736
cartoon,50,0.02,2,5,0,5,5,0.052675595812618915,0.023630649501426022,-0.011035521534540526,0.012088987419801845,-0.07474663888169997,0.03977855708544782,-0.004535955092245797,-0.006499566442294736
cartoon,50,0.02,5,5,0,5,5,0.052675595812618915,0.023630649501426022,-0.011035521534540526,0.012088987419801845,-0.10785320348532154,0.0728723326664765,-0.004535955092245797,-0.006499566442294736
cartoon,50,0.02,10,5,1,5,4,0.052675595812618915,0.023630649501426022,-0.011035521534540526,0.012088987419801845,-0.16303081115802417,0.13179350129067197,-0.004535955092245797,-0.006499566442294736
cartoon,50,0.05,1,5,0,5,5,0.08267559581261893,0.02363064950142602,-0.021321062933411516,0.013876163722948205,-0.10399665874603045,0.03161751867860504,-0.005401040806467289,-0.015920022126944162
cartoon,50,0.05,2,5,0,5,5,0.08267559581261893,0.02363064950142602,-0.021321062933411516,0.013876163722948205,-0.12531772167944197,0.042731992912298844,-0.005401040806467289,-0.015920022126944162
cartoon,50,0.05,5,5,0,5,5,0.08267559581261893,0.02363064950142602,-0.021321062933411516,0.013876163722948205,-0.18928091047967652,0.08133674106358077,-0.005401040806467289,-0.015920022126944162
cartoon,50,0.05,10,5,0,5,5,0.08267559581261893,0.02363064950142602,-0.021321062933411516,0.013876163722948205,-0.2958862251467341,0.14933291425915426,-0.005401040806467289,-0.015920022126944162
cartoon,50,0.1,1,5,0,5,5,0.13267559581261887,0.02363064950142602,-0.043955023008325635,0.011442861356696355,-0.1766306188209445,0.029286854921406303,-0.005401040806467289,-0.03855398220185828
cartoon,50,0.1,2,5,0,5,5,0.13267559581261887,0.02363064950142602,-0.043955023008325635,0.011442861356696355,-0.22058564182927015,0.037668425751189887,-0.005401040806467289,-0.03855398220185828
cartoon,50,0.1,5,5,0,5,5,0.13267559581261887,0.02363064950142602,-0.043955023008325635,0.011442861356696355,-0.35245071085424706,0.06836483374566207,-0.005401040806467289,-0.03855398220185828
cartoon,50,0.1,10,5,0,5,5,0.13267559581261887,0.02363064950142602,-0.043955023008325635,0.011442861356696355,-0.5722258258958752,0.12383879518032112,-0.005401040806467289,-0.03855398220185828
cartoon,50,0.15,1,5,0,5,5,0.1826755958126189,0.02363064950142602,-0.057774557836091554,0.02051155946525355,-0.24045015364871047,0.03750572878343312,-0.005401040806467289,-0.05237351702962421
cartoon,50,0.15,2,5,0,5,5,0.1826755958126189,0.02363064950142602,-0.057774557836091554,0.02051155946525355,-0.298224711484802,0.05564530465984444,-0.005401040806467289,-0.05237351702962421
cartoon,50,0.15,5,5,0,5,5,0.1826755958126189,0.02363064950142602,-0.057774557836091554,0.02051155946525355,-0.47154838499307666,0.11495324922931881,-0.005401040806467289,-0.05237351702962421
cartoon,50,0.15,10,5,0,5,5,0.1826755958126189,0.02363064950142602,-0.057774557836091554,0.02051155946525355,-0.7604211741735345,0.21657861160725952,-0.005401040806467289,-0.05237351702962421
cartoon,100,0.0,1,5,0,4,4,0.0326755958126189,0.023630649501426022,-0.011219463570719568,0.010073476320557705,-0.043895059383338465,0.030394259085898177,-0.0067198971284248565,-0.004499566442294734
cartoon,100,0.0,2,5,0,4,4,0.0326755958126189,0.023630649501426022,-0.011219463570719568,0.010073476320557705,-0.05511452295405803,0.038628541588621175,-0.0067198971284248565,-0.004499566442294734
cartoon,100,0.0,5,5,0,4,4,0.0326755958126189,0.023630649501426022,-0.011219463570719568,0.010073476320557705,-0.08877291366621673,0.06644488729077108,-0.0067198971284248565,-0.004499566442294734
cartoon,100,0.0,10,5,0,4,4,0.0326755958126189,0.023630649501426022,-0.011219463570719568,0.010073476320557705,-0.14487023151981457,0.11552136061070757,-0.0067198971284248565,-0.004499566442294734
