scope,N,intervention_domain,affected_domain,n,mean,std,median,min,max,n_positive,n_zero,n_negative,fraction_positive,fraction_zero,fraction_negative
matrix_all_N,ALL,sketch,art_painting,15,-0.36781103790189174,0.15296550627386538,-0.389975690340408,-0.5651784934974251,-0.11590824210058859,0,0,15,0.0,0.0,1.0
matrix_all_N,ALL,sketch,cartoon,15,-0.17923184394538852,0.11350923995575578,-0.17498436276657592,-0.39160664213764634,-0.0307074786578031,0,0,15,0.0,0.0,1.0
matrix_all_N,ALL,sketch,sketch,15,-0.14933598343973198,0.09073350055452316,-0.1553912045866317,-0.28071771149027824,-0.00693074375360947,0,0,15,0.0,0.0,1.0
matrix_by_N,25,art_painting,photo,5,0.01107953996083666,0.016531726064334014,0.010217113665389688,-0.009392522303693474,0.02941476924473907,3,0,2,0.6,0.0,0.4
matrix_by_N,25,art_painting,art_painting,5,0.01024077419247107,0.008865359788929824,0.01271408799183471,-0.001883124328944774,0.019275565508598547,4,0,1,0.8,0.0,0.2
matrix_by_N,25,art_painting,cartoon,5,-0.044160049250117225,0.020919198039883614,-0.038652393378192706,-0.0802721274923699,-0.0275014417373034,0,0,5,0.0,0.0,1.0
matrix_by_N,25,art_painting,sketch,5,-0.09684516170625394,0.0356894398786379,-0.10571698118774175,-0.1403568222709778,-0.0425270659862943,0,0,5,0.0,0.0,1.0
matrix_by_N,25,cartoon,photo,5,-0.025158675508270334,0.024166346107342994,-0.02431272842841259,-0.05824099507557334,0.009852216748768461,1,0,4,0.2,0.0,0.8
matrix_by_N,25,cartoon,art_painting,5,-0.029974544180607677,0.009343371727201984,-0.028287618855456165,-0.04383740793613089,-0.018067131653422885,0,0,5,0.0,0.0,1.0
matrix_by_N,25,cartoon,cartoon,5,-0.006093282131949085,0.02307343256025875,-0.014110283770938259,-0.024980221318112616,0.029951764834003414,2,0,3,0.4,0.0,0.6
matrix_by_N,25,cartoon,sketch,5,-0.005511974495606564,0.02707005535825368,-0.004551645308861985,-0.03984528254002595,0.022504065050229505,2,0,3,0.4,0.0,0.6
matrix_by_N,25,photo,photo,5,0.016000435522126287,0.023191068590054237,0.009568454745635724,-0.004973191847496561,0.04570838346462058,3,0,2,0.6,0.0,0.4
matrix_by_N,25,photo,art_painting,5,-0.007136327632147244,0.01693802081285603,-0.0013202872141262478,-0.025765804263176206,0.010840832056053462,2,0,3,0.4,0.0,0.6
matrix_by_N,25,photo,cartoon,5,-0.07997065491178179,0.02815324332629077,-0.08872393761883901,-0.11018101492895982,-0.034598689446526554,0,0,5,0.0,0.0,1.0
matrix_by_N,25,photo,sketch,5,-0.14143861893436857,0.029542769003751385,-0.14728168573613898,-0.17937546442773444,-0.09795880906217003,0,0,5,0.0,0.0,1.0
matrix_by_N,25,sketch,photo,5,-0.11686395741377467,0.013480557133788889,-0.12313757538610548,-0.1313439854517241,-0.09737766074171617,0,0,5,0.0,0.0,1.0
matrix_by_N,25,sketch,art_painting,5,-0.17928636490899946,0.03827629833894126,-0.18879648097014357,-0.21063203495590432,-0.11590824210058859,0,0,5,0.0,0.0,1.0
matrix_by_N,25,sketch,cartoon,5,-0.056956288877137086,0.022473229619823117,-0.055396689222369955,-0.0796460511674173,-0.0307074786578031,0,0,5,0.0,0.0,1.0
matrix_by_N,25,sketch,sketch,5,-0.04803676547077516,0.040387418182178524,-0.04277802552114929,-0.10160037836515956,-0.00693074375360947,0,0,5,0.0,0.0,1.0
matrix_by_N,50,art_painting,photo,5,0.007973084292804656,0.015167572035908855,0.006982029570620107,-0.008757525998905225,0.025841049557877804,3,0,2,0.6,0.0,0.4
matrix_by_N,50,art_painting,art_painting,5,-0.016965544690636113,0.016830597780267752,-0.019493385204304214,-0.03392458574617119,0.007761229655517621,1,0,4,0.2,0.0,0.8
matrix_by_N,50,art_painting,cartoon,5,-0.1044670871665139,0.040849892964607504,-0.11007890600727377,-0.16441090942915126,-0.05901157566028081,0,0,5,0.0,0.0,1.0
