scope,domain,N,c,metric,n,mean,std,median,min,max,n_positive,n_zero,n_negative,fraction_positive,fraction_zero,fraction_negative
domain_N,photo,25,ALL,DeltaV_local,25,0.0021415687760515355,0.004087139547880257,0.0,-0.0012432979618741402,0.011427095866155146,11,9,5,0.44,0.36,0.2
domain_N,photo,25,ALL,DeltaV_cross,25,-0.02506660148022983,0.014948729311073392,-0.023532329124344664,-0.05248233746600561,0.0,0,1,24,0.0,0.04,0.96
domain_N,photo,100,ALL,DeltaV,25,-0.036304238553667614,0.02816070354248073,-0.028789080065898642,-0.1017939173328044,0.0,0,1,24,0.0,0.04,0.96
domain_N,photo,100,ALL,DeltaV_local,25,0.004564839194093918,0.005826664340921194,0.0,-0.0013194933145672105,0.01347585752877345,11,9,5,0.44,0.36,0.2
domain_N,photo,100,ALL,DeltaV_cross,25,-0.0408690777477615,0.028800183952734253,-0.03338593720526331,-0.10047442401823725,0.0,0,1,24,0.0,0.04,0.96
domain_N,sketch,100,ALL,DeltaV,25,-0.05640376234749528,0.046633833940859765,-0.033385937205263394,-0.1502133747386224,0.0,0,1,24,0.0,0.04,0.96
domain_N,sketch,100,ALL,DeltaV_local,25,-0.007615045578686744,0.010138038053410512,0.0,-0.03114038943308367,0.0,0,13,12,0.0,0.52,0.48
domain_N,sketch,100,ALL,DeltaV_cross,25,-0.04878871676880852,0.03802724068582036,-0.032992667034714984,-0.12947349691455962,0.0,0,1,24,0.0,0.04,0.96
N,ALL,25,ALL,DeltaV,100,-0.021648723194432673,0.021919215109527136,-0.01492452953796386,-0.11930131238439157,0.007487941208500937,5,3,92,0.05,0.03,0.92
N,ALL,25,ALL,DeltaV_local,100,-0.0002779642644892263,0.005074704168481475,0.0,-0.02073987782406267,0.011427095866155146,36,27,37,0.36,0.27,0.37
N,ALL,25,ALL,DeltaV_cross,100,-0.02137075892994343,0.019698813824667486,-0.017206132161321663,-0.09856143456032881,0.004266405695641046,4,8,88,0.04,0.08,0.88
N,ALL,50,ALL,DeltaV,100,-0.036810475321069354,0.03097228326516848,-0.028965983486648195,-0.13677643067335343,0.0026313505098248813,2,3,95,0.02,0.03,0.95
N,ALL,50,ALL,DeltaV_local,100,-0.0030786592148911453,0.007664422123795138,0.0,-0.03114038943308367,0.013467344668679465,23,28,49,0.23,0.28,0.49
N,ALL,50,ALL,DeltaV_cross,100,-0.0337318161061782,0.027192148549130747,-0.02860026431480156,-0.1160665533888294,0.0,0,9,91,0.0,0.09,0.91
N,ALL,100,ALL,DeltaV,100,-0.04172936407384411,0.03398864876436188,-0.03244480395507332,-0.1502133747386224,0.0,0,4,96,0.0,0.04,0.96
N,ALL,100,ALL,DeltaV_local,100,-0.0047009237745476405,0.009088388585043202,-0.0018361551498020379,-0.03114038943308367,0.01347585752877345,14,29,57,0.14,0.29,0.57
N,ALL,100,ALL,DeltaV_cross,100,-0.03702844029929645,0.030366928697017705,-0.029241441585405287,-0.12947349691455962,0.0,0,9,91,0.0,0.09,0.91
c,ALL,ALL,0.0,DeltaV,60,-0.010490386463283366,0.00791028037428991,-0.010531713842491519,-0.02299266703471492,0.005879690735329235,3,10,47,0.05,0.16666666666666666,0.7833333333333333
c,ALL,ALL,0.0,DeltaV_local,60,-0.0012843139162591346,0.0039050402737021445,0.0,-0.012825932258410833,0.00758012387998086,6,39,15,0.1,0.65,0.25
c,ALL,ALL,0.0,DeltaV_cross,60,-0.009206072547024269,0.007346361106013672,-0.010531713842491575,-0.022992667034714975,0.0,0,18,42,0.0,0.3,0.7
c,ALL,ALL,0.02,DeltaV,60,-0.014629334854313869,0.010655053208274187,-0.01538155224528559,-0.03299266703471493,0.007487941208500937,3,0,57,0.05,0.0,0.95
c,ALL,ALL,0.02,DeltaV_local,60,-0.0012823913128728831,0.0048296812299842545,0.0,-0.016596043235309305,0.012580123879980865,10,34,16,0.16666666666666666,0.5666666666666667,0.26666666666666666
c,ALL,ALL,0.02,DeltaV_cross,60,-0.013346943541441003,0.010052317651784309,-0.015531713842491579,-0.032992667034714984,0.004266405695641046,1,8,51,0.016666666666666666,0.13333333333333333,0.85
c,ALL,ALL,0.05,DeltaV,60,-0.024461387938932037,0.013978740807413731,-0.02262129510619182,-0.054473496914559716,0.0012338231078963258,1,0,59,0.016666666666666666,0.0,0.9833333333333333
c,ALL,ALL,0.05,DeltaV_local,60,-0.001473293267561376,0.006039384647956363,-2.0362551150732155e-05,-0.02055240268403777,0.01347585752877345,19,11,30,0.31666666666666665,0.18333333333333332,0.5
c,ALL,ALL,0.05,DeltaV_cross,60,-0.022988094671370626,0.013133881528822331,-0.02409604323530931,-0.05447349691455963,0.0037064007487885853,1,0,59,0.016666666666666666,0.0,0.9833333333333333
c,ALL,ALL,0.1,DeltaV,60,-0.04819345795202354,0.02313945467653122,-0.046102570670378706,-0.10021337473862224,-0.005227889593642843,0,0,60,0.0,0.0,1.0
c,ALL,ALL,0.1,DeltaV_local,60,-0.0034430334816889655,0.00843426453380167,-0.0034533016924812032,-0.02055240268403777,0.01347585752877345,19,0,41,0.31666666666666665,0.0,0.6833333333333333
c,ALL,ALL,0.1,DeltaV_cross,60,-0.04475042447033452,0.019731396448786315,-0.04259003132889953,-0.09197349691455958,0.0010171657358854502,1,0,59,0.016666666666666666,0.0,0.9833333333333333
c,ALL,ALL,0.15,DeltaV,60,-0.06920637044035743,0.036317838930005356,-0.06405844731581811,-0.1502133747386224,-0.005227889593642843,0,0,60,0.0,0.0,1.0
c,ALL,ALL,0.15,DeltaV_local,60,-0.005946213444830995,0.011587705583537824,-0.0034533016924812032,-0.03114038943308367,0.01347585752877345,19,0,41,0.31666666666666665,0.0,0.6833333333333333
c,ALL,ALL,0.15,DeltaV_cross,60,-0.06326015699552638,0.028946070434613558,-0.06256747888558394,-0.12947349691455962,0.0010171657358854502,1,0,59,0.016666666666666666,0.0,0.9833333333333333
