b,delta,g,h,V,dV_analytic,dV_numeric,sign_analytic,sign_numeric,switchable
0.0,0.5489832402234637,0.3,-0.09898324022346372,-0.02,,,,,False
0.0,0.5531620111731843,0.3,-0.10316201117318435,-0.02,,,,,False
0.0,0.557340782122905,0.3,-0.1073407821229051,-0.02,,,,,False
0.0,0.5615195530726257,0.3,-0.11151955307262573,-0.02,,,,,False
0.0,0.5656983240223463,0.3,-0.11569832402234637,-0.02,,,,,False
0.0,0.5698770949720671,0.3,-0.11987709497206711,-0.02,,,,,False
0.0,0.5740558659217877,0.3,-0.12405586592178774,-0.02,,,,,False
0.0,0.5782346368715083,0.3,-0.12823463687150838,-0.02,,,,,False
0.0,0.5824134078212291,0.3,-0.13241340782122912,-0.02,,,,,False
0.0,0.5865921787709497,0.3,-0.13659217877094976,-0.02,,,,,False
0.0,0.5907709497206703,0.3,-0.1407709497206704,-0.02,,,,,False
0.0,0.5949497206703911,0.3,-0.14494972067039114,-0.02,,,,,False
0.0,0.5991284916201117,0.3,-0.14912849162011177,-0.02,,,,,False
0.0,0.6033072625698324,0.3,-0.1533072625698324,-0.02,,,,,False
0.0,0.6074860335195531,0.3,-0.15748603351955315,-0.02,,,,,False
0.0,0.6116648044692737,0.3,-0.16166480446927378,-0.02,,,,,False
0.0,0.6158435754189944,0.3,-0.16584357541899442,-0.02,,,,,False
0.0,0.6200223463687151,0.3,-0.17002234636871516,-0.02,,,,,False
0.0,0.6242011173184357,0.3,-0.1742011173184358,-0.02,,,,,False
0.0,0.6283798882681564,0.3,-0.17837988826815643,-0.02,,,,,False
0.0,0.632558659217877,0.3,-0.18255865921787706,-0.02,,,,,False
0.0,0.6367374301675978,0.3,-0.1867374301675978,-0.02,,,,,False
0.0,0.6409162011173184,0.3,-0.19091620111731844,-0.02,,,,,False
0.0,0.645094972067039,0.3,-0.19509497206703907,-0.02,,,,,False
0.0,0.6492737430167598,0.3,-0.19927374301675982,-0.02,,,,,False
0.0,0.6534525139664804,0.3,-0.20345251396648045,-0.02,,,,,False
0.0,0.6576312849162012,0.3,-0.2076312849162012,-0.02,,,,,False
0.0,0.6618100558659218,0.3,-0.21181005586592183,-0.02,,,,,False
0.0,0.6659888268156424,0.3,-0.21598882681564247,-0.02,,,,,False
0.0,0.6701675977653632,0.3,-0.2201675977653632,-0.02,,,,,False
0.0,0.6743463687150838,0.3,-0.22434636871508384,-0.02,,,,,False
0.0,0.6785251396648044,0.3,-0.22852513966480448,-0.02,,,,,False
0.0,0.6827039106145252,0.3,-0.23270391061452522,-0.02,,,,,False
0.0,0.6868826815642458,0.3,-0.23688268156424586,-0.02,,,,,False
0.0,0.6910614525139664,0.3,-0.2410614525139665,-0.02,,,,,False
0.0,0.6952402234636872,0.3,-0.24524022346368723,-0.02,,,,,False
0.0,0.6994189944134078,0.3,-0.24941899441340787,-0.02,,,,,False
0.0,0.7035977653631285,0.3,-0.2535977653631285,-0.02,,,,,False
0.0,0.7077765363128492,0.3,-0.25777653631284925,-0.02,,,,,False
0.0,0.7119553072625698,0.3,-0.2619553072625699,-0.02,,,,,False
0.0,0.7161340782122905,0.3,-0.2661340782122905,-0.02,,,,,False
0.0,0.7203128491620112,0.3,-0.27031284916201126,-0.02,,,,,False
0.0,0.7244916201117318,0.3,-0.2744916201117319,-0.02,,,,,False
0.0,0.7286703910614525,0.3,-0.2786703910614525,-0.02,,,,,False
0.0,0.7328491620111732,0.3,-0.28284916201117327,-0.02,,,,,False
0.0,0.7370279329608939,0.3,-0.2870279329608939,-0.02,,,,,False
0.0,0.7412067039106145,0.3,-0.29120670391061454,-0.02,,,,,False
0.0,0.7453854748603352,0.3,-0.2953854748603353,-0.02,,,,,False
0.0,0.7495642458100559,0.3,-0.2995642458100559,-0.02,,,,,False
0.0,0.7537430167597765,0.3,-0.30374301675977655,-0.02,,,,,False
0.0,0.7579217877094973,0.3,-0.3079217877094973,-0.02,,,,,False
0.0,0.7621005586592179,0.3,-0.31210055865921793,-0.02,,,,,False
0.0,0.7662793296089385,0.3,-0.31627932960893856,-0.02,,,,,False
0.0,0.7704581005586593,0.3,-0.3204581005586593,-0.02,,,,,False
0.0,0.7746368715083799,0.3,-0.32463687150837994,-0.02,,,,,False
0.0,0.7788156424581005,0.3,-0.3288156424581006,-0.02,,,,,False
0.0,0.7829944134078213,0.3,-0.3329944134078213,-0.02,,,,,False
0.0,0.7871731843575419,0.3,-0.33717318435754196,-0.02,,,,,False
0.0,0.7913519553072625,0.3,-0.3413519553072626,-0.02,,,,,False
0.0,0.7955307262569833,0.3,-0.34553072625698333,-0.02,,,,,False
0.0,0.7997094972067039,0.3,-0.34970949720670397,-0.02,,,,,False
0.0,0.8038882681564246,0.3,-0.3538882681564246,-0.02,,,,,False
0.0,0.8080670391061453,0.3,-0.35806703910614535,-0.02,,,,,False
0.0,0.8122458100558659,0.3,-0.362245810055866,-0.02,,,,,False
0.0,0.8164245810055866,0.3,-0.3664245810055866,-0.02,,,,,False
0.0,0.8206033519553072,0.3,-0.37060335195530725,-0.02,,,,,False
0.0,0.824782122905028,0.3,-0.374782122905028,-0.02,,,,,False
0.0,0.8289608938547486,0.3,-0.3789608938547486,-0.02,,,,,False
0.0,0.8331396648044692,0.3,-0.38313966480446926,-0.02,,,,,False
0.0,0.83731843575419,0.3,-0.38731843575419,-0.02,,,,,False
0.0,0.8414972067039106,0.3,-0.39149720670391064,-0.02,,,,,False
0.0,0.8456759776536312,0.3,-0.3956759776536313,-0.02,,,,,False
0.0,0.849854748603352,0.3,-0.399854748603352,-0.02,,,,,False
0.0,0.8540335195530726,0.3,-0.40403351955307265,-0.02,,,,,False
0.0,0.8582122905027932,0.3,-0.4082122905027933,-0.02,,,,,False
0.0,0.862391061452514,0.3,-0.41239106145251403,-0.02,,,,,False
0.0,0.8665698324022346,0.3,-0.41656983240223466,-0.02,,,,,False
0.0,0.8707486033519553,0.3,-0.4207486033519553,-0.02,,,,,False
0.0,0.874927374301676,0.3,-0.42492737430167604,-0.02,,,,,False
0.0,0.8791061452513966,0.3,-0.4291061452513967,-0.02,,,,,False
0.0,0.8832849162011173,0.3,-0.4332849162011173,-0.02,,,,,False
0.0,0.887463687150838,0.3,-0.43746368715083805,-0.02,,,,,False
0.0,0.8916424581005586,0.3,-0.4416424581005587,-0.02,,,,,False
0.0,0.8958212290502793,0.3,-0.4458212290502793,-0.02,,,,,False
0.0,0.9,0.3,-0.45000000000000007,-0.02,,,,,False
0.5,0.152,0.376,0.374,0.2355168,-0.34159999999999996,-0.3415999999811792,-1.0,-1.0,True
0.5,0.15617877094972066,0.3780893854748603,0.3719106145251396,0.23408933184357536,-0.34159999999999996,-0.34160000000893476,-1.0,-1.0,True
0.5,0.16035754189944135,0.38017877094972063,0.3698212290502793,0.23266186368715078,-0.34159999999999996,-0.34160000003669033,-1.0,-1.0,True
0.5,0.164536312849162,0.382268156424581,0.367731843575419,0.23123439553072625,-0.34159999999999996,-0.3415999999811792,-1.0,-1.0,True
0.5,0.16871508379888267,0.3843575418994413,0.3656424581005586,0.22980692737430164,-0.34159999999999996,-0.34160000000893476,-1.0,-1.0,True
0.5,0.17289385474860336,0.38644692737430164,0.3635530726256983,0.22837945921787706,-0.34159999999999996,-0.34160000000893476,-1.0,-1.0,True
0.5,0.17707262569832402,0.388536312849162,0.361463687150838,0.2269519910614525,-0.34159999999999996,-0.3415999999811792,-1.0,-1.0,True
0.5,0.18125139664804468,0.39062569832402233,0.3593743016759776,0.2255245229050279,-0.34159999999999996,-0.34160000000893476,-1.0,-1.0,True
0.5,0.18543016759776537,0.39271508379888265,0.3572849162011173,0.2240970547486033,-0.34159999999999996,-0.34160000000893476,-1.0,-1.0,True
0.5,0.18960893854748603,0.394804469273743,0.355195530726257,0.22266958659217875,-0.34159999999999996,-0.34159999999505697,-1.0,-1.0,True
0.5,0.1937877094972067,0.39689385474860334,0.3531061452513966,0.22124211843575414,-0.34159999999999996,-0.34160000000893476,-1.0,-1.0,True
0.5,0.19796648044692738,0.39898324022346365,0.3510167597765363,0.2198146502793296,-0.34159999999999996,-0.34160000000893476,-1.0,-1.0,True
0.5,0.20214525139664805,0.401072625698324,0.348927374301676,0.218387182122905,-0.34159999999999996,-0.34159999999505697,-1.0,-1.0,True
0.5,0.2063240223463687,0.40316201117318434,0.3468379888268156,0.2169597139664804,-0.34159999999999996,-0.34160000000893476,-1.0,-1.0,True
0.5,0.2105027932960894,0.40525139664804466,0.3447486033519553,0.21553224581005584,-0.34159999999999996,-0.34160000000893476,-1.0,-1.0,True
0.5,0.21468156424581003,0.40734078212290503,0.342659217877095,0.2141047776536313,-0.34159999999999996,-0.3415999999673014,-1.0,-1.0,True
0.5,0.21886033519553072,0.40943016759776535,0.3405698324022346,0.21267730949720665,-0.34159999999999996,-0.34160000000893476,-1.0,-1.0,True
0.5,0.2230391061452514,0.41151955307262567,0.3384804469273743,0.2112498413407821,-0.34159999999999996,-0.34160000000893476,-1.0,-1.0,True
0.5,0.22721787709497204,0.41360893854748604,0.336391061452514,0.20982237318435756,-0.34159999999999996,-0.3415999999673014,-1.0,-1.0,True
0.5,0.23139664804469273,0.41569832402234635,0.3343016759776536,0.20839490502793293,-0.34159999999999996,-0.34160000000893476,-1.0,-1.0,True
0.5,0.2355754189944134,0.41778770949720667,0.33221229050279333,0.2069674368715084,-0.34159999999999996,-0.34160000003669033,-1.0,-1.0,True
0.5,0.23975418994413406,0.41987709497206704,0.330122905027933,0.20553996871508382,-0.34159999999999996,-0.3415999999673014,-1.0,-1.0,True
0.5,0.24393296089385474,0.42196648044692736,0.3280335195530726,0.20411250055865918,-0.34159999999999996,-0.34160000000893476,-1.0,-1.0,True
0.5,0.2481117318435754,0.4240558659217877,0.3259441340782123,0.20268503240223465,-0.34159999999999996,-0.34160000003669033,-1.0,-1.0,True
0.5,0.25229050279329607,0.42614525139664805,0.323854748603352,0.20125756424581007,-0.34159999999999996,-0.3415999999811792,-1.0,-1.0,True
0.5,0.25646927374301676,0.42823463687150837,0.3217653631284916,0.19983009608938543,-0.34159999999999996,-0.3415999999673014,-1.0,-1.0,True
