delta,b,s,ell,h,valid,dV_analytic,classification
0.3,-0.975,0.8583333333333332,0.5574999999999999,-0.1425,False,,
0.3,-0.975,0.8899999999999999,0.567,-0.1425,False,,
0.3,-0.975,0.9216666666666666,0.5765,-0.1425,False,,
0.3,-0.975,0.9533333333333329,0.5859999999999999,-0.1425,False,,
0.3,-0.975,0.9849999999999997,0.5954999999999999,-0.1425,False,,
0.3,-0.975,1.0166666666666664,0.6049999999999999,-0.1425,False,,
0.3,-0.975,1.0483333333333331,0.6144999999999999,-0.1425,False,,
0.3,-0.975,1.0799999999999998,0.6239999999999999,-0.1425,False,,
0.3,-0.975,1.1116666666666666,0.6335,-0.1425,False,,
0.3,-0.975,1.1433333333333329,0.6429999999999998,-0.1425,False,,
0.3,-0.975,1.1749999999999996,0.6524999999999999,-0.1425,False,,
0.3,-0.975,1.2066666666666663,0.6619999999999999,-0.1425,False,,
0.3,-0.975,1.238333333333333,0.6714999999999999,-0.1425,False,,
0.3,-0.975,1.2699999999999998,0.6809999999999999,-0.1425,False,,
0.3,-0.975,1.3016666666666665,0.6904999999999999,-0.1425,False,,
0.3,-0.975,1.3333333333333333,0.7,-0.1425,False,,
0.3,-0.975,1.3649999999999995,0.7094999999999998,-0.1425,False,,
0.3,-0.975,1.3966666666666663,0.7189999999999999,-0.1425,False,,
0.3,-0.975,1.428333333333333,0.7284999999999999,-0.1425,False,,
0.3,-0.975,1.4599999999999997,0.7379999999999999,-0.1425,False,,
0.3,-0.975,1.4916666666666665,0.7474999999999999,-0.1425,False,,
0.3,-0.975,1.5233333333333332,0.7569999999999999,-0.1425,False,,
0.3,-0.975,1.5549999999999995,0.7664999999999997,-0.1425,False,,
0.3,-0.975,1.5866666666666662,0.7759999999999998,-0.1425,False,,
0.3,-0.975,1.618333333333333,0.7854999999999999,-0.1425,False,,
0.3,-0.975,1.6499999999999997,0.7949999999999999,-0.1425,False,,
0.3,-0.975,1.6816666666666664,0.8045,-0.1425,False,,
0.3,-0.975,1.7133333333333332,0.8139999999999998,-0.1425,False,,
0.3,-0.975,1.7449999999999994,0.8234999999999999,-0.1425,False,,
0.3,-0.975,1.7766666666666662,0.8329999999999997,-0.1425,False,,
0.3,-0.975,1.808333333333333,0.8424999999999998,-0.1425,False,,
0.3,-0.975,1.8399999999999996,0.8519999999999999,-0.1425,False,,
0.3,-0.975,1.8716666666666664,0.8614999999999999,-0.1425,False,,
0.3,-0.975,1.903333333333333,0.871,-0.1425,False,,
0.3,-0.975,1.9349999999999998,0.8804999999999998,-0.1425,False,,
0.3,-0.975,1.9666666666666661,0.8899999999999999,-0.1425,False,,
0.3,-0.975,1.9983333333333329,0.8994999999999997,-0.1425,False,,
0.3,-0.975,2.0299999999999994,0.9089999999999998,-0.1425,False,,
0.3,-0.975,2.0616666666666665,0.9184999999999999,-0.1425,False,,
0.3,-0.975,2.093333333333333,0.9279999999999997,-0.1425,False,,
0.3,-0.975,2.125,0.9375,-0.1425,False,,
0.3,-0.975,2.1566666666666663,0.9469999999999998,-0.1425,False,,
0.3,-0.975,2.1883333333333326,0.9564999999999997,-0.1425,False,,
0.3,-0.975,2.2199999999999998,0.966,-0.1425,False,,
0.3,-0.975,2.251666666666666,0.9754999999999998,-0.1425,False,,
0.3,-0.975,2.283333333333333,0.9849999999999999,-0.1425,False,,
0.3,-0.975,2.3149999999999995,0.9944999999999997,-0.1425,False,,
0.3,-0.975,2.346666666666666,1.0039999999999998,-0.1425,False,,
0.3,-0.975,2.378333333333333,1.0134999999999998,-0.1425,False,,
0.3,-0.975,2.4099999999999993,1.0229999999999997,-0.1425,False,,
0.3,-0.975,2.4416666666666664,1.0325,-0.1425,False,,
0.3,-0.975,2.4733333333333327,1.0419999999999998,-0.1425,False,,
0.3,-0.975,2.505,1.0514999999999999,-0.1425,False,,
0.3,-0.975,2.536666666666666,1.0609999999999997,-0.1425,False,,
0.3,-0.975,2.5683333333333325,1.0704999999999998,-0.1425,False,,
0.3,-0.975,2.6,1.08,-0.1425,False,,
0.3,-0.95,-1.2,-0.06,-0.13499999999999998,False,,
0.3,-0.95,-1.1683333333333332,-0.05049999999999999,-0.13499999999999998,False,,
0.3,-0.95,-1.1366666666666667,-0.041000000000000036,-0.13499999999999998,False,,
0.3,-0.95,-1.105,-0.03149999999999997,-0.13499999999999998,False,,
0.3,-0.95,-1.0733333333333333,-0.021999999999999964,-0.13499999999999998,False,,
0.3,-0.95,-1.0416666666666665,-0.012499999999999956,-0.13499999999999998,False,,
0.3,-0.95,-1.01,-0.0030000000000000027,-0.13499999999999998,False,,
0.3,-0.95,-0.9783333333333333,0.006500000000000006,-0.13499999999999998,False,,
0.3,-0.95,-0.9466666666666667,0.016000000000000014,-0.13499999999999998,False,,
0.3,-0.95,-0.915,0.025499999999999967,-0.13499999999999998,False,,
0.3,-0.95,-0.8833333333333333,0.03500000000000003,-0.13499999999999998,False,,
0.3,-0.95,-0.8516666666666667,0.044499999999999984,-0.13499999999999998,False,,
0.3,-0.95,-0.8200000000000001,0.05399999999999999,-0.13499999999999998,False,,
0.3,-0.95,-0.7883333333333333,0.0635,-0.13499999999999998,False,,
0.3,-0.95,-0.7566666666666667,0.07299999999999998,-0.13499999999999998,False,,
0.3,-0.95,-0.7250000000000001,0.08249999999999996,-0.13499999999999998,False,,
0.3,-0.95,-0.6933333333333334,0.092,-0.13499999999999998,False,,
0.3,-0.95,-0.6616666666666667,0.10149999999999998,-0.13499999999999998,False,,
0.3,-0.95,-0.63,0.11099999999999999,-0.13499999999999998,False,,
0.3,-0.95,-0.5983333333333334,0.12049999999999997,-0.13499999999999998,False,,
